N	3gram	Losev_Vesc_1	Analitik
1	не может быть	6	16
2	в том что	4	9
3	что иное как	7	5
4	не что иное	7	4
5	мы имеем дело	2	4
6	с точки зрения	3	4
7	то ни было	4	3
8	есть не что	5	3
9	бы то ни	4	3
10	из того что	2	3
11	в той или	2	3
12	подобно тому как	4	3
13	с одной стороны	3	3
14	для того чтобы	2	3
15	о том что	4	3
16	внутреннего и внешнего	2	2
17	сами по себе	3	2
18	в данном случае	2	2
19	в самом деле	4	2
20	в отрыве от	2	2
21	не есть вещь	4	2
22	в свое время	2	2
23	в первом случае	2	2
24	в основе своей	2	2
25	с другой стороны	2	2
