N	2gram	Bakhtin_Fr_6	Problema
1	и не	3	28
2	то есть	24	27
3	не только	10	24
4	только в	3	23
5	вовсе не	7	21
6	в том	2	20
7	и в	41	20
8	все эти	11	16
9	то что	10	15
10	потому что	3	15
11	у нас	4	14
12	было бы	3	14
13	но и	13	14
14	точки зрения	2	14
15	перед нами	3	13
16	не в	4	13
17	также и	6	13
18	в себе	5	12
19	том что	7	12
20	прежде всего	10	11
21	с точки	2	11
22	так и	5	10
23	и его	13	10
24	может быть	2	9
25	есть нечто	2	9
26	все это	11	9
27	и даже	4	9
28	в этом	12	9
29	что он	6	8
30	таким образом	17	8
31	в той	5	8
32	в результате	4	8
33	и все	9	8
34	но в	8	8
35	с другой	4	7
36	есть в	3	7
37	мы не	2	7
38	и потому	2	7
39	то же	5	7
40	именно в	4	7
41	а не	2	7
42	сказать что	6	7
43	и с	16	7
44	в ней	4	7
45	всех этих	2	6
46	и от	4	6
47	так что	2	6
48	а также	5	6
49	для нас	2	6
50	как и	7	6
51	но это	3	6
52	при этом	3	6
53	но если	2	6
54	другой стороны	2	6
55	в данном	3	6
56	и вообще	4	6
57	но не	2	5
58	хотя и	2	5
59	в нем	16	5
60	здесь в	9	5
61	в целях	3	5
62	в ее	5	5
63	жизни и	3	5
64	вместе с	6	5
65	данном случае	2	5
66	как в	4	5
67	так же	5	5
68	не может	4	5
69	в них	7	5
70	так как	10	5
71	если мы	2	5
72	и очень	2	5
73	или в	6	5
74	в этих	2	5
75	о том	9	5
76	уже в	4	4
77	времени и	2	4
78	и для	3	4
79	и во	2	4
80	в одном	5	4
81	это и	2	4
82	в этой	8	4
83	кроме того	9	4
84	одной из	3	4
85	в своей	2	4
86	никак не	3	4
87	как бы	7	4
88	тем более	2	4
89	и образ	4	4
90	во всех	17	4
91	с этим	3	4
92	а в	4	4
93	что не	3	4
94	и наконец	4	4
95	как раз	2	4
96	солнца и	2	4
97	в то	6	4
98	с ним	4	4
99	это уже	2	3
100	все они	2	3
101	как мы	12	3
102	он был	4	3
103	и как	4	3
104	в начале	3	3
105	связи с	2	3
106	в истории	2	3
107	себе в	2	3
108	конечно не	3	3
109	в его	7	3
110	что в	7	3
111	в своем	5	3
112	самом деле	4	3
113	что мы	2	3
114	к нему	3	3
115	с другими	3	3
116	и на	9	3
117	тем что	5	3
118	из них	5	3
119	в другом	4	3
120	как это	2	3
121	из этого	4	3
122	в области	2	3
123	как о	2	3
124	эти образы	2	2
125	но они	4	2
126	все время	4	2
127	до того	3	2
128	для его	2	2
129	в частности	2	2
130	для этого	2	2
131	есть именно	2	2
132	в корне	2	2
133	то он	2	2
134	в конце	2	2
135	на все	3	2
136	в литературе	5	2
137	стороны и	2	2
138	что именно	2	2
139	с его	5	2
140	находятся в	2	2
141	что они	2	2
142	заключается в	2	2
143	они и	3	2
144	тот же	4	2
145	со всеми	2	2
146	кажется что	2	2
147	что это	5	2
148	на его	2	2
149	в самом	10	2
150	за пределы	2	2
151	между собою	5	2
152	они могут	2	2
153	он не	2	2
154	никто не	2	2
155	в котором	4	2
156	все же	4	2
157	себя в	2	2
158	не будем	2	2
159	был в	2	2
160	а именно	2	2
161	и прежде	2	2
162	мы находим	2	2
163	но эта	2	2
164	и что	5	2
165	того чтобы	4	2
166	и он	5	2
167	есть только	3	2
168	как они	2	2
169	в значительной	2	2
170	и едва	2	2
171	выходит за	3	2
172	и когда	2	2
173	говорить о	2	2
174	и то	2	2
175	во всем	5	2
176	этих образов	2	2
177	и весьма	2	2
178	это все	2	2
179	весь мир	3	2
180	в чем	3	2
181	того же	4	2
182	еще более	2	2
183	это было	2	2
