N	2gram	Propp_Isto_5	UchenyiS
1	и в	25	14
2	а не	2	10
3	не только	13	10
4	и не	11	8
5	прежде всего	6	8
6	то что	7	7
7	в этом	10	7
8	не может	6	7
9	может быть	17	6
10	все это	4	5
11	то же	4	5
12	но и	13	4
13	в этой	3	4
14	с другой	9	4
15	как и	7	3
16	все же	10	3
17	в своей	2	3
18	в частности	7	3
19	очевидно что	2	3
20	другой стороны	8	3
21	это не	6	3
22	в то	3	3
23	не как	4	3
24	том что	8	2
25	но не	5	2
26	в том	6	2
27	по существу	2	2
28	мы не	5	2
29	не в	6	2
30	и для	2	2
31	но это	7	2
32	мы и	2	2
33	о чем	2	2
34	если бы	2	2
35	это уже	2	2
36	только в	7	2
37	и с	3	2
38	тем что	10	2
39	сих пор	2	2
40	могут быть	6	2
41	его и	2	2
42	что он	22	2
43	до сих	2	2
44	формы и	2	2
45	что мы	2	2
46	что все	4	2
47	если не	4	2
48	по себе	2	2
49	в некоторых	4	2
50	превращается в	7	2
51	одним из	2	2
52	ничего не	2	2
53	самом деле	2	2
54	а как	2	2
55	что и	6	2
56	в его	12	2
57	таким образом	9	2
58	это было	2	2
