N	2gram	Nazirov_Vr_1	RusskieA
1	и в	8	29
2	т е	3	24
3	что в	7	22
4	том что	3	22
5	в том	3	22
6	как бы	4	18
7	может быть	4	13
8	во время	2	12
9	п в	2	12
10	там же	2	12
11	как и	6	11
12	одна из	2	11
13	в этом	8	11
14	все это	4	10
15	в этот	3	10
16	и с	6	10
17	не только	9	10
18	о том	4	9
19	а в	2	9
20	но и	7	8
21	его в	3	8
22	же в	2	6
23	еще не	2	6
24	для нас	4	6
25	вместе с	2	6
26	таким образом	2	6
27	при этом	4	6
28	это не	4	5
29	к этому	3	5
30	то что	7	5
31	и что	8	5
32	не может	2	5
33	но в	6	5
34	о чем	2	4
35	в них	2	4
36	и все	7	4
37	уже не	2	4
38	из них	2	4
39	же как	2	4
40	том же	2	4
41	а также	2	4
42	в русских	2	4
43	так же	4	4
44	то же	5	4
45	их в	2	4
46	далеко не	3	4
47	тем что	3	3
48	в году	18	3
49	на первый	2	3
50	в честь	2	3
51	а н	2	3
52	и о	3	3
53	в котором	6	3
54	между тем	5	3
55	но он	3	3
56	в этой	2	3
57	в эту	2	3
58	не менее	2	2
59	начиная с	2	2
60	связи с	3	2
61	об этом	5	2
62	никогда не	2	2
63	это в	2	2
64	и как	3	2
65	одним из	3	2
66	в него	2	2
67	в виду	4	2
68	все же	6	2
69	в своей	2	2
70	после этого	2	2
71	тогда как	2	2
72	а с	2	2
73	не было	5	2
74	так в	2	2
75	в своих	4	2
76	и то	2	2
77	в момент	2	2
78	и ее	2	2
79	в то	5	2
