N	2gram	Savitsky_P_1	Hudozhes
1	и в	14	28
2	том что	4	19
3	в ее	2	18
4	и не	12	18
5	в том	9	15
6	а не	2	14
7	не в	5	13
8	в этом	10	13
9	в его	2	11
10	не только	17	11
11	но и	6	9
12	в себе	3	9
13	в жизни	2	8
14	может быть	5	8
15	между тем	3	8
16	в мире	2	7
17	в частности	2	7
18	это не	3	6
19	в котором	4	6
20	то что	4	6
21	если бы	4	6
22	то же	9	6
23	не было	2	6
24	сводится к	3	6
25	а в	4	6
26	и с	2	6
27	в то	7	6
28	я и	3	6
29	не менее	2	5
30	в своем	4	5
31	как бы	4	5
32	да и	2	5
33	что в	4	5
34	наряду с	3	5
35	но не	3	4
36	в качестве	9	4
37	же время	7	4
38	для того	3	4
39	вслед за	3	4
40	и о	5	4
41	и т	3	4
42	как раз	2	4
43	не может	4	4
44	только в	7	4
45	в них	2	3
46	столь же	3	3
47	с другой	5	3
48	прежде всего	3	3
49	в нем	3	3
50	для нас	2	3
51	одной стороны	3	3
52	было бы	6	3
53	в ней	6	3
54	со стороны	2	3
55	все это	2	3
56	с одной	3	3
57	с ними	3	3
58	и это	2	3
59	т е	3	2
60	отнюдь не	2	2
61	именно в	2	2
62	не столько	2	2
63	одна из	2	2
64	первой половины	4	2
65	мысль о	2	2
66	и к	4	2
67	в ряду	2	2
68	а также	4	2
69	если в	2	2
70	из них	2	2
71	как на	2	2
72	тем самым	3	2
73	более чем	2	2
74	хотя бы	8	2
75	с точки	3	2
76	потому что	3	2
77	теперь в	2	2
78	в виде	2	2
79	точки зрения	3	2
80	говорить о	2	2
81	ей в	3	2
82	но в	9	2
