N	2gram	Nazirov_Tv_1	slovoVRo
1	в романе	10	46
2	и в	21	39
3	может быть	5	37
4	и т	3	35
5	и его	6	33
6	т п	2	33
7	то есть	12	26
8	не только	7	24
9	и не	7	22
10	но и	3	21
11	не может	4	20
12	в нем	3	19
13	до конца	2	17
14	все это	10	16
15	в этом	6	16
16	так и	2	15
17	а не	5	14
18	как в	8	13
19	отличие от	2	13
20	в отличие	2	12
21	вовсе не	5	10
22	не в	2	9
23	и с	3	9
24	прежде всего	4	8
25	таким образом	5	8
26	с его	11	7
27	при этом	7	7
28	для него	6	7
29	в его	13	7
30	как бы	17	7
31	никогда не	3	7
32	в этих	2	7
33	и даже	3	7
34	могут быть	2	7
35	с ним	3	7
36	в него	2	7
37	все же	5	6
38	как и	12	6
39	в своем	4	6
40	но не	3	6
41	жизни и	3	6
42	так сказать	2	6
43	но в	7	6
44	с другой	3	5
45	это не	4	5
46	и все	6	5
47	том что	11	5
48	только в	5	5
49	в том	7	5
50	один из	4	5
51	человека в	6	5
52	уже не	3	5
53	и наконец	2	5
54	героя и	2	5
55	не менее	6	4
56	и мир	2	4
57	же время	12	4
58	одна из	2	4
59	в основном	4	4
60	сливается с	3	4
61	то же	13	4
62	и других	3	4
63	а в	6	4
64	и на	7	4
65	в основе	2	4
66	xix века	6	4
67	в то	15	4
68	так как	3	4
69	перед нами	2	3
70	что в	12	3
71	одновременно и	2	3
72	хотя бы	5	3
73	не столько	2	3
74	и от	4	3
75	человека и	4	3
76	в романах	13	3
77	в свою	7	3
78	что и	2	3
79	из себя	2	3
80	но это	5	3
81	у него	7	3
82	и как	4	3
83	как к	2	3
84	в ней	2	3
85	стремится к	3	3
86	той же	3	3
87	связан с	3	3
88	сказать что	2	3
89	ту же	3	3
90	в чем	2	3
91	может не	2	2
92	в данном	2	2
93	уже в	3	2
94	не был	3	2
95	и другие	3	2
96	хотя и	3	2
97	однако в	2	2
98	но она	2	2
99	жизни в	6	2
100	но он	2	2
101	с которым	2	2
102	влияние на	2	2
103	в себе	2	2
104	что он	6	2
105	с ее	3	2
106	в одно	2	2
107	в дальнейшем	3	2
108	на протяжении	3	2
109	со всеми	3	2
110	русский роман	2	2
111	в новых	2	2
112	же и	2	2
113	к ней	2	2
114	просто не	3	2
115	даже в	3	2
116	которого он	2	2
117	на его	3	2
118	то что	8	2
119	его романах	2	2
120	дело в	3	2
121	его как	2	2
122	вместе с	2	2
123	в их	3	2
124	в виде	3	2
125	именно в	2	2
126	еще более	2	2
127	это и	3	2
128	в себя	2	2
129	одним из	4	2
130	или в	2	2
131	людей и	2	2
132	он не	8	2
133	эти слова	2	2
134	далеко не	3	2
135	не знает	2	2
136	о том	6	2
