N	3gram	Medvedev_F_3	Problema
1	по отношению к	3	19
2	и т п	5	13
3	не может быть	14	11
4	с точки зрения	14	6
5	в большинстве случаев	4	5
6	в отличие от	2	5
7	в высшей степени	2	5
8	в художественном произведении	3	4
9	в данном случае	4	4
10	с другой стороны	5	4
11	то же время	7	3
12	в самом деле	4	3
13	в то же	7	3
14	тем не менее	2	3
15	может быть только	2	3
16	бы то ни	4	3
17	на самом деле	12	3
18	в этом смысле	2	3
19	в том что	3	3
20	то ни было	4	2
21	в области познания	2	2
22	то или иное	2	2
23	так и в	2	2
24	и в то	2	2
25	то же самое	3	2
26	и не может	4	2
27	в этом отношении	3	2
28	формы и содержания	2	2
29	не следует что	2	2
30	точки зрения самого	2	2
31	для того чтобы	4	2
