N	2gram	Losev_Vlad_3	Literetu
1	и не	25	22
2	и в	40	16
3	в мире	2	16
4	при этом	3	15
5	не только	25	14
6	но и	18	14
7	в этом	16	14
8	а не	8	12
9	то что	28	12
10	может быть	8	12
11	в том	18	12
12	не в	3	10
13	такого рода	4	10
14	то же	4	9
15	так и	6	9
16	того что	7	9
17	в то	7	9
18	в жизни	2	8
19	том что	18	8
20	не может	14	8
21	в этой	8	8
22	как бы	3	8
23	в своей	9	7
24	же время	2	7
25	со стороны	2	7
26	тем самым	2	7
27	точки зрения	13	7
28	только в	13	7
29	с его	2	6
30	с другой	5	6
31	к тому	7	6
32	еще не	4	6
33	в его	14	6
34	и его	10	6
35	в себе	9	6
36	в другом	2	6
37	о том	11	6
38	в качестве	3	5
39	это не	3	5
40	в году	10	5
41	что он	5	5
42	тому же	5	5
43	как и	7	5
44	в целом	2	5
45	вместе с	7	5
46	а именно	12	5
47	в отличие	3	5
48	а в	7	5
49	этом отношении	2	5
50	именно в	3	5
51	то есть	24	5
52	отличие от	3	5
53	но не	4	4
54	никогда не	11	4
55	даже в	4	4
56	по существу	4	4
57	до конца	4	4
58	одной стороны	3	4
59	и если	7	4
60	в начале	2	4
61	и для	3	4
62	хотя и	7	4
63	из них	2	4
64	данном случае	2	4
65	с одной	3	4
66	а также	8	4
67	должно быть	5	4
68	в данном	5	4
69	в одном	5	4
70	ни к	2	3
71	отнюдь не	5	3
72	взгляд на	2	3
73	прежде всего	10	3
74	и как	7	3
75	то в	6	3
76	совершенно не	2	3
77	и к	2	3
78	в самом	4	3
79	в сторону	2	3
80	еще в	5	3
81	и тем	3	3
82	но уже	2	3
83	живой жизни	2	3
84	бы и	4	3
85	уже не	9	3
86	и наконец	2	3
87	с точки	6	3
88	как на	3	3
89	потому что	11	3
90	по своей	2	3
91	едва ли	11	3
92	как это	4	3
93	отношения к	5	3
94	но в	4	3
95	что в	17	2
96	не менее	9	2
97	если бы	3	2
98	так или	2	2
99	все они	2	2
100	то ни	3	2
101	оно не	3	2
102	с этой	2	2
103	не как	2	2
104	в конце	12	2
105	я не	3	2
106	к этому	2	2
107	вопрос о	4	2
108	по себе	6	2
109	и вместе	2	2
110	ни с	3	2
111	стороны и	2	2
112	на то	4	2
113	в нем	3	2
114	же в	3	2
115	у нас	5	2
116	связи с	2	2
117	вот в	2	2
118	это последнее	2	2
119	того же	2	2
120	для него	8	2
121	было бы	4	2
122	жизни а	2	2
123	несмотря на	7	2
124	легко может	2	2
125	той или	2	2
126	не вполне	2	2
127	для себя	5	2
128	не с	4	2
129	то это	10	2
130	что и	7	2
131	все же	4	2
132	бы то	3	2
133	но еще	2	2
134	как мы	8	2
135	так же	8	2
136	как раз	10	2
137	как например	2	2
138	а и	2	2
139	и только	3	2
140	если не	6	2
141	еще и	18	2
142	но с	2	2
143	того чтобы	3	2
144	для того	2	2
145	и выше	2	2
146	другой стороны	2	2
147	и даже	6	2
148	или иначе	2	2
149	в своих	7	2
150	и на	6	2
151	мы и	2	2
152	и с	9	2
153	тем что	5	2
154	далеко не	3	2
155	на себя	2	2
156	xix века	6	2
157	еще раз	2	2
158	же самое	3	2
159	и вовсе	3	2
160	его в	2	2
161	и потому	10	2
162	здесь не	3	2
163	ее в	3	2
