N	3gram	Losev_Prob_4	Myshleni
1	с точки зрения	11	18
2	в том что	8	15
3	для того чтобы	2	15
4	с другой стороны	6	9
5	о том что	3	6
6	заключается в том	2	6
7	в то время	2	5
8	вместе с тем	3	5
9	то время как	2	4
10	сам по себе	6	3
11	то же самое	6	3
12	можно было бы	4	3
13	во всяком случае	4	3
14	в том чтобы	2	3
15	в данном случае	5	2
16	в зависимости от	3	2
17	в то же	2	2
18	в настоящей работе	2	2
19	мы хотели бы	2	2
20	ни в какой	4	2
21	и в частности	2	2
22	что перед нами	2	2
23	в какой мере	4	2
