N	2gram	Tiupa_Teor_1	Sovremen
1	не может	4	17
2	точки зрения	9	12
3	может быть	17	12
4	таким образом	3	11
5	в этом	8	7
6	и в	18	7
7	и не	13	6
8	как и	4	6
9	прежде всего	2	5
10	все эти	2	5
11	с точки	3	5
12	как бы	5	4
13	если мы	2	4
14	в целом	3	4
15	вместе с	2	4
16	это не	2	4
17	а в	13	4
18	не только	16	4
19	в том	16	4
20	их в	3	4
21	отнюдь не	3	3
22	между собой	3	3
23	все это	2	3
24	отличается от	2	3
25	в конце	2	3
26	то же	7	3
27	на две	3	3
28	в нем	4	3
29	а не	9	3
30	и к	3	3
31	у нас	2	3
32	не в	7	3
33	в этой	3	3
34	еще не	4	3
35	при этом	12	3
36	и т.д	3	3
37	в одном	2	3
38	в первом	2	3
39	в себе	9	3
40	в области	4	3
41	что она	2	3
42	но в	9	3
43	и потому	2	3
44	этих двух	2	2
45	не могут	2	2
46	не менее	4	2
47	быть и	2	2
48	в нашем	4	2
49	приводит к	5	2
50	в отличие	6	2
51	из этих	3	2
52	с одной	2	2
53	уже не	4	2
54	в свою	3	2
55	или иной	4	2
56	и что	3	2
57	роль в	2	2
58	к чему	2	2
59	и даже	2	2
60	и по	2	2
61	тем не	3	2
62	он должен	2	2
63	тот или	2	2
64	свою очередь	2	2
65	времени и	2	2
66	а на	3	2
67	могут быть	4	2
68	что в	9	2
69	говорить о	3	2
70	такого рода	8	2
71	в самом	4	2
72	в которой	2	2
73	отличие от	6	2
74	в его	6	2
