N	2gram	Kanaev_Sov_1	Analitik
1	не только	4	22
2	и в	7	18
3	как и	6	14
4	в этом	7	14
5	и не	6	12
6	при этом	3	11
7	а в	4	10
8	как бы	4	10
9	может быть	12	9
10	что в	2	9
11	а не	3	9
12	в том	4	9
13	и даже	2	8
14	в его	2	7
15	не в	3	6
16	еще не	3	6
17	в этой	3	6
18	в конце	3	5
19	прежде всего	5	5
20	в свою	2	5
21	или иной	2	5
22	такого рода	2	5
23	в самом	2	5
24	уже не	2	5
25	той же	2	5
26	в результате	6	5
27	не менее	2	4
28	отнюдь не	3	4
29	в одном	3	4
30	и к	3	4
31	свою очередь	2	4
32	все же	3	4
33	приводит к	2	4
34	таким образом	11	4
35	уже в	3	3
36	в каждом	8	3
37	из этих	2	3
38	было бы	3	3
39	в целом	4	3
40	все это	3	3
41	то же	3	3
42	роль в	2	3
43	мы не	9	3
44	ничего не	6	3
45	с этим	2	3
46	точки зрения	12	3
47	говорить о	2	3
48	могут быть	2	2
49	все эти	5	2
50	это не	4	2
51	в нем	3	2
52	тем не	2	2
53	в дальнейшем	4	2
54	тот или	2	2
55	одна из	3	2
56	со всеми	2	2
57	совершенно не	2	2
58	на его	2	2
59	и потому	3	2
60	всяком случае	2	2
61	в первом	3	2
62	вместе с	4	2
63	что она	3	2
64	не может	17	2
65	в отличие	2	2
66	с одной	2	2
67	который как	2	2
68	самом деле	2	2
69	с точки	5	2
70	и по	2	2
71	во всяком	2	2
72	мы можем	6	2
73	в себе	3	2
74	и т.д	3	2
75	и все	3	2
76	так сказать	2	2
77	когда мы	3	2
78	отличие от	2	2
79	но в	3	2
