N	2gram	Tiupa_Vved_1	PoTuStor
1	может быть	18	17
2	и в	13	16
3	прежде всего	7	9
4	таким образом	4	9
5	в этом	21	9
6	мы можем	2	9
7	и его	5	8
8	и с	2	8
9	не может	7	8
10	не только	20	7
11	и к	2	6
12	самом деле	3	6
13	для него	3	6
14	при этом	26	6
15	отношение к	2	5
16	что такое	18	5
17	еще не	7	5
18	как бы	4	5
19	в нем	5	4
20	отнюдь не	7	4
21	но и	19	4
22	так и	8	4
23	и все	4	4
24	и не	12	4
25	на самом	4	4
26	как мы	3	4
27	можно сказать	4	4
28	и наконец	2	4
29	и на	3	4
30	все что	3	4
31	только в	6	4
32	но в	6	4
33	в его	4	4
34	в этих	3	3
35	что в	3	3
36	жизни и	7	3
37	во всех	2	3
38	могут быть	4	3
39	те же	2	3
40	в том	10	3
41	а в	6	3
42	том что	7	3
43	и оно	2	3
44	то что	6	3
45	их в	2	3
46	в основе	3	3
47	едва ли	3	3
48	мира и	2	3
49	в области	3	3
50	не существует	2	2
51	не менее	4	2
52	один из	3	2
53	что и	2	2
54	в частности	13	2
55	никогда не	4	2
56	между собой	2	2
57	в них	2	2
58	из этих	3	2
59	в жизни	4	2
60	то же	5	2
61	к этому	2	2
62	в итоге	3	2
63	сводится к	4	2
64	мы не	4	2
65	и т.п	9	2
66	что на	2	2
67	что мы	2	2
68	в историю	2	2
69	и по	3	2
70	и для	3	2
71	для нас	2	2
72	в этот	2	2
73	как и	11	2
74	но это	3	2
75	есть в	2	2
76	по своему	2	2
77	а на	2	2
78	он не	3	2
79	при всей	2	2
80	не можем	2	2
81	нашего времени	2	2
82	говорить о	2	2
83	в начале	3	2
84	в пределах	2	2
85	было бы	4	2
86	о том	5	2
87	в самом	2	2
88	в своей	5	2
89	с ним	3	2
90	к ним	2	2
