N	2gram	Vinokur_St_2	Literetu
1	а не	5	20
2	и в	29	19
3	может быть	2	17
4	своего рода	5	13
5	то же	2	12
6	и не	9	11
7	в том	27	10
8	как и	2	10
9	но и	19	10
10	такого рода	2	9
11	не может	2	9
12	тогда как	2	9
13	в этом	21	9
14	в то	2	9
15	с другой	4	8
16	не только	19	8
17	и даже	3	8
18	том что	27	7
19	то что	11	7
20	так и	9	7
21	не менее	3	6
22	в себе	2	6
23	при этом	2	6
24	и на	6	6
25	я не	7	5
26	у нас	3	5
27	но не	3	5
28	в качестве	5	5
29	он не	9	5
30	вместе с	7	5
31	в году	3	5
32	того что	5	5
33	что в	19	4
34	в частности	4	4
35	прежде всего	5	4
36	не в	4	4
37	того же	2	4
38	для него	4	4
39	в ней	7	4
40	в его	13	4
41	еще в	2	4
42	даже в	2	4
43	так что	3	4
44	другой стороны	3	4
45	тем что	3	4
46	точки зрения	5	4
47	в поэме	3	4
48	в русской	5	4
49	в области	2	4
50	никогда не	3	3
51	что он	13	3
52	идет о	3	3
53	в нем	4	3
54	по существу	2	3
55	и как	2	3
56	одним из	6	3
57	но это	3	3
58	в начале	3	3
59	в этой	2	3
60	и он	3	3
61	не знали	5	3
62	речь идет	4	3
63	и др	2	3
64	со стороны	2	3
65	в их	3	3
66	этом отношении	9	3
67	так как	2	3
68	но с	4	3
69	тем же	2	3
70	с точки	2	3
71	как на	9	3
72	и его	6	3
73	не столько	7	3
74	и с	4	3
75	в данном	2	3
76	в другом	4	3
77	ничего не	4	3
78	не было	3	2
79	ни было	2	2
80	же как	3	2
81	с тем	7	2
82	не является	3	2
83	в них	2	2
84	в какой	2	2
85	с этой	2	2
86	в конце	2	2
87	в виду	7	2
88	в одном	6	2
89	вовсе не	6	2
90	что было	2	2
91	и к	4	2
92	а также	2	2
93	в ее	2	2
94	а затем	2	2
95	тем не	2	2
96	очевидно что	2	2
97	до конца	3	2
98	было бы	5	2
99	и сам	2	2
100	одной из	3	2
101	наконец в	3	2
102	не по	2	2
103	как бы	5	2
104	что и	2	2
105	как он	2	2
106	все же	6	2
107	и т	9	2
108	не к	2	2
109	из них	3	2
110	в истории	2	2
111	как раз	8	2
112	т п	3	2
113	не раз	2	2
114	к своему	2	2
115	на первом	2	2
116	и что	6	2
117	для того	7	2
118	за то	3	2
119	хотя бы	3	2
120	а к	2	2
121	сравнении с	2	2
122	в результате	2	2
123	потому что	9	2
124	поэт не	2	2
125	на себя	3	2
126	что я	2	2
127	о том	17	2
128	в россии	3	2
129	как это	2	2
130	поэзии и	2	2
131	но в	8	2
132	одном из	3	2
