N	2gram	Potebnia_M_2	Problemy
1	и в	24	46
2	то есть	30	40
3	и не	19	27
4	может быть	23	23
5	как бы	9	19
6	не может	12	19
7	в нем	9	17
8	в этом	8	16
9	не только	15	14
10	слова в	5	13
11	но и	9	12
12	как и	7	12
13	и на	8	11
14	в одном	6	11
15	а не	18	11
16	не в	13	10
17	между ними	2	10
18	прежде всего	7	9
19	в том	18	9
20	в самом	4	9
21	и все	3	9
22	вовсе не	9	9
23	в его	2	9
24	до сих	4	8
25	сих пор	4	8
26	или в	2	8
27	по себе	15	7
28	еще не	4	7
29	в себе	10	7
30	слова и	3	7
31	никогда не	4	6
32	в каждом	2	6
33	но это	3	6
34	есть в	2	6
35	хотя и	3	6
36	на предмет	2	6
37	друг друга	2	6
38	но в	4	6
39	что он	4	6
40	то же	12	6
41	все это	2	6
42	и его	2	6
43	только в	11	6
44	это не	3	5
45	же время	2	5
46	при этом	13	5
47	в котором	4	5
48	нам кажется	4	5
49	по отношению	2	5
50	мы находим	2	5
51	в самой	3	5
52	рядом с	3	5
53	в то	6	5
54	слово с	2	5
55	так как	10	5
56	в жизни	2	5
57	с его	2	5
58	у него	2	5
59	к другому	4	5
60	за пределы	2	5
61	о том	5	5
62	во всех	7	5
63	если мы	3	5
64	так сказать	4	5
65	уже в	5	4
66	что в	16	4
67	в этих	3	4
68	слова но	2	4
69	например в	3	4
70	по мере	5	4
71	в словах	3	4
72	слово как	2	4
73	таким образом	11	4
74	все эти	2	4
75	и других	2	4
76	должно быть	2	4
77	потому что	49	4
78	и здесь	2	4
79	во всем	2	4
80	мы не	11	4
81	мы можем	12	4
82	превращается в	2	4
83	как в	10	4
84	том что	8	4
85	но не	12	4
86	все же	5	4
87	то что	20	4
88	но эти	2	4
89	так и	5	4
90	в себя	2	4
91	уже не	4	4
92	самом деле	2	4
93	себя и	2	3
94	с другой	6	3
95	из этих	4	3
96	человека и	3	3
97	не могут	7	3
98	на то	5	3
99	такой же	4	3
100	более или	8	3
101	на этом	2	3
102	в формах	2	3
103	но если	2	3
104	то это	3	3
105	и для	3	3
106	и их	5	3
107	другой стороны	2	3
108	так же	2	3
109	и только	6	3
110	но он	2	3
111	как он	4	3
112	их в	2	3
113	бы в	2	3
114	если бы	11	3
115	не как	3	3
116	и во	3	3
117	и при	3	3
118	а то	2	3
119	того же	14	3
120	и что	4	3
121	было бы	13	3
122	кажется что	3	3
123	что и	11	3
124	на него	3	3
125	или менее	8	3
126	тем же	3	3
127	той же	3	3
128	в слове	13	3
129	сам по	4	3
130	между двумя	6	3
131	тем что	7	3
132	далеко не	3	3
133	и это	2	3
134	не менее	5	2
135	сама по	2	2
136	но на	2	2
137	время и	2	2
138	мы чувствуем	3	2
139	на все	3	2
140	самый предмет	2	2
141	вопрос о	2	2
142	нет но	3	2
143	от них	3	2
144	для нас	31	2
145	в одно	8	2
146	так что	10	2
147	и как	6	2
148	но все	2	2
149	не дает	2	2
150	для него	10	2
151	в общем	2	2
152	к другим	3	2
153	и следовательно	2	2
154	если в	3	2
155	равно и	2	2
156	и тем	3	2
157	но она	3	2
158	языка и	3	2
159	то и	9	2
160	влияние на	4	2
161	отношения к	2	2
162	в других	4	2
163	не было	6	2
164	те же	3	2
165	в слово	2	2
166	они не	4	2
167	и по	2	2
168	а в	8	2
169	сказать что	2	2
170	о котором	2	2
171	что мы	11	2
172	от одного	3	2
173	с ним	5	2
174	между тем	6	2
175	с этим	7	2
176	с нею	2	2
177	этом смысле	2	2
178	бы ни	5	2
179	о которых	3	2
180	остановимся на	2	2
181	сознании и	2	2
182	у нас	2	2
183	одна из	4	2
184	все что	3	2
185	зрения и	7	2
186	указывает на	2	2
187	к ней	2	2
188	этого слова	6	2
189	оно должно	3	2
190	сами по	7	2
191	вместе с	11	2
192	так в	4	2
193	в языке	3	2
194	бы не	5	2
195	показать в	2	2
196	и они	2	2
197	что такое	2	2
198	хотя бы	2	2
199	тем как	2	2
200	во всяком	7	2
201	могут быть	8	2
202	в другом	2	2
203	может стать	2	2
204	отношении к	2	2
205	там где	4	2
206	а между	4	2
207	того как	7	2
208	одном из	4	2
