N	2gram	Vinokur_St_1	Otkroven
1	у него	2	22
2	и в	44	19
3	но и	10	13
4	и не	16	13
5	в этом	21	12
6	а не	16	11
7	не в	12	11
8	может быть	15	11
9	не только	18	11
10	и все	2	10
11	вопрос о	4	10
12	в нем	5	10
13	никогда не	5	9
14	не было	4	9
15	потому что	6	9
16	прежде всего	7	9
17	он был	3	8
18	ни с	3	7
19	лишь в	3	7
20	но он	2	7
21	он не	2	7
22	в его	9	7
23	все это	5	6
24	как и	9	6
25	нужно искать	3	5
26	то что	18	5
27	а в	17	5
28	отношение к	2	5
29	в том	36	5
30	для него	6	5
31	в этой	11	5
32	в самом	7	5
33	в россии	4	5
34	т е	15	4
35	того чтобы	11	4
36	что не	3	4
37	все в	2	4
38	и его	8	4
39	все эти	5	4
40	не может	8	4
41	что в	30	4
42	к нему	2	3
43	в этих	2	3
44	это не	8	3
45	что он	10	3
46	того что	9	3
47	для того	10	3
48	хотя бы	6	3
49	в своих	2	3
50	еще не	3	3
51	могут быть	5	3
52	в себе	2	3
53	было бы	17	3
54	никто не	4	3
55	о том	17	3
56	как бы	4	3
57	уже в	2	2
58	все же	8	2
59	что и	6	2
60	и для	3	2
61	можно ли	4	2
62	в истории	3	2
63	так и	9	2
64	в своем	2	2
65	что у	4	2
66	что же	6	2
67	как к	3	2
68	искать не	2	2
69	не все	3	2
70	что все	2	2
71	же это	3	2
72	и очень	4	2
73	о которой	3	2
74	не имеет	4	2
75	в ее	4	2
76	в которой	4	2
77	в других	2	2
78	что для	3	2
79	том что	29	2
80	так что	6	2
81	в другом	3	2
82	и то	5	2
83	что они	7	2
84	сказать что	7	2
85	и с	3	2
86	чем в	3	2
87	совсем не	2	2
88	тем что	5	2
89	одно из	2	2
90	даже и	2	2
91	его в	2	2
92	должен был	2	2
93	в своей	6	2
94	так как	5	2
95	ничего не	2	2
96	но в	10	2
97	и потому	2	2
98	в уста	3	2
