N	2gram	Bakhtin_Pr_4	Sotsiolo
1	все это	6	7
2	в том	9	5
3	в этом	16	5
4	не в	10	3
5	для нас	2	3
6	и только	3	3
7	но ведь	2	3
8	в его	9	3
9	и в	46	3
10	не только	14	3
11	по отношению	5	2
12	еще не	7	2
13	было бы	3	2
14	только в	6	2
15	в конце	3	2
16	по существу	3	2
17	таким образом	4	2
18	том что	4	2
19	далеко не	3	2
20	то же	6	2
21	отношению к	5	2
22	то что	4	2
23	может быть	23	2
24	за пределы	5	2
25	в результате	2	2
26	и что	3	2
27	но и	12	2
28	как бы	19	2
29	должна быть	2	2
30	ведь это	3	2
31	что в	4	2
