N	2gram	Nazirov_Tv_2	Psycholo
1	то что	3	37
2	и в	20	30
3	в том	8	27
4	что в	7	24
5	и что	2	23
6	потому что	7	23
7	том что	4	21
8	все время	2	20
9	таким образом	10	20
10	как бы	11	19
11	что он	6	17
12	и мы	3	16
13	не только	13	16
14	в самом	3	14
15	в этом	8	14
16	так же	5	13
17	то есть	5	13
18	вместе с	3	12
19	если бы	4	11
20	может быть	8	11
21	о том	5	10
22	никогда не	11	9
23	с другой	2	9
24	не может	7	9
25	так как	3	9
26	не в	4	8
27	а не	6	8
28	при этом	8	8
29	самом деле	2	8
30	мы видим	4	8
31	могут быть	2	8
32	и это	3	8
33	в нем	3	7
34	но не	5	7
35	все же	5	7
36	и т	13	7
37	то же	7	7
38	действующих лиц	2	7
39	героя и	2	7
40	в основе	2	7
41	уже в	2	6
42	что она	4	6
43	именно в	6	6
44	как и	6	6
45	и если	2	6
46	в искусстве	2	6
47	но и	8	6
48	по мнению	3	6
49	и не	9	6
50	и его	9	6
51	тем что	3	6
52	и есть	2	5
53	в целом	6	5
54	и потому	4	5
55	в этой	5	5
56	что они	4	5
57	еще не	5	5
58	до сих	3	5
59	когда он	4	5
60	один из	3	5
61	сих пор	3	5
62	другой стороны	2	5
63	а с	3	5
64	сводится к	2	5
65	рядом с	2	5
66	в своих	3	5
67	в себе	3	5
68	но в	4	5
69	только в	2	5
70	казалось бы	3	4
71	в частности	2	4
72	этот вопрос	3	4
73	прежде всего	8	4
74	у нас	2	4
75	в своей	6	4
76	в его	10	4
77	а в	4	4
78	действия и	2	4
79	в конце	6	4
80	не могли	2	4
81	трагедии в	2	3
82	у него	6	3
83	думается что	2	3
84	что у	4	3
85	это не	7	3
86	заставляет нас	3	3
87	к этому	3	3
88	вовсе не	2	3
89	показывает что	4	3
90	что на	2	3
91	об этом	4	3
92	так что	2	3
93	одна из	3	3
94	для него	3	3
95	он не	3	3
96	в ее	2	3
97	на его	4	3
98	так и	6	3
99	как в	4	3
100	в их	3	3
101	так например	3	3
102	так в	2	3
103	и только	2	3
104	т д	11	3
105	героя в	4	3
106	и наконец	2	3
107	на этот	2	3
108	в таком	3	3
109	мы не	4	3
110	человека в	3	3
111	и на	5	3
112	т п	2	3
113	в которой	2	3
114	и поэтому	2	3
115	с этой	3	2
116	в душе	4	2
117	же как	3	2
118	говорил что	2	2
119	от этой	2	2
120	не является	3	2
121	давно уже	2	2
122	влечет за	2	2
123	в одной	3	2
124	характеров и	2	2
125	части романа	2	2
126	в одном	2	2
127	фабулы и	2	2
128	видим в	2	2
129	характера и	3	2
130	гамлета и	2	2
131	а затем	3	2
132	в романе	15	2
133	ли не	2	2
134	по преимуществу	2	2
135	в котором	3	2
136	из них	2	2
137	к самому	2	2
138	все это	6	2
139	по отношению	3	2
140	в отличие	2	2
141	приводит к	2	2
142	и даже	5	2
143	и он	2	2
144	отличие от	2	2
145	ничего не	4	2
146	в которых	3	2
147	и с	8	2
148	в трагическом	5	2
149	в то	10	2
150	в рассказе	3	2
151	все эти	4	2
152	из этого	2	2
153	едва ли	2	2
154	же не	2	2
