N	2gram	Tiupa_Disk_2	Dialekti
1	и не	15	30
2	а не	14	18
3	может быть	16	17
4	то что	5	16
5	и в	16	15
6	как бы	4	14
7	точки зрения	4	14
8	это не	3	12
9	прежде всего	7	11
10	в том	8	11
11	не может	9	11
12	говорить о	2	11
13	и все	3	11
14	в этом	16	11
15	с ее	2	10
16	в основе	4	10
17	потому что	4	10
18	том что	10	10
19	все это	2	9
20	то же	6	9
21	уже не	3	9
22	с точки	2	9
23	ни в	7	8
24	не в	3	8
25	в себе	19	8
26	не только	10	8
27	и ее	3	8
28	и это	2	8
29	что в	5	7
30	должна быть	2	7
31	что он	2	7
32	как и	16	7
33	и его	3	7
34	только в	3	7
35	перед нами	3	6
36	же время	5	6
37	в результате	2	6
38	в то	5	6
39	что и	2	6
40	так и	9	5
41	в своем	5	5
42	можно сказать	3	5
43	в ней	2	5
44	в нем	7	5
45	именно в	2	5
46	и на	5	5
47	о том	4	5
48	мы имеем	2	5
49	с его	6	5
50	личности в	2	5
51	в себя	2	5
52	и для	2	5
53	той же	2	5
54	и как	3	4
55	но это	3	4
56	в этой	4	4
57	есть в	2	4
58	жизни и	3	4
59	но и	11	4
60	также и	3	4
61	и с	2	4
62	не о	2	4
63	той или	3	4
64	бытия и	2	4
65	в одном	4	4
66	отнюдь не	6	4
67	или по	2	4
68	с их	2	4
69	еще не	6	4
70	тому как	2	4
71	в его	3	4
72	подобно тому	2	4
73	тем самым	6	3
74	к жизни	3	3
75	все эти	3	3
76	и наконец	3	3
77	но в	11	3
78	можно назвать	4	3
79	к этому	4	3
80	в своей	6	3
81	со стороны	10	3
82	как в	8	3
83	чего не	3	3
84	в данном	7	3
85	и то	4	3
86	могут быть	3	3
87	в области	2	3
88	не менее	7	2
89	в противоположность	5	2
90	в частности	12	2
91	из этих	3	2
92	что на	2	2
93	к своему	2	2
94	и может	3	2
95	при этом	17	2
96	совпадает с	2	2
97	никогда не	2	2
98	в котором	3	2
99	с той	2	2
100	из них	3	2
101	другой стороны	2	2
102	не было	3	2
103	должно быть	2	2
104	в них	3	2
105	все же	6	2
106	в качестве	16	2
107	не нужно	2	2
108	в свое	2	2
109	себя в	6	2
110	вместе с	2	2
111	что же	2	2
112	как будто	3	2
113	отличие от	12	2
114	непосредственно и	2	2
115	может и	2	2
