N	2gram	Losev_Dial_4	Marksizm
1	точки зрения	14	34
2	может быть	17	26
3	и не	30	26
4	не может	11	24
5	с точки	9	20
6	и в	15	19
7	и его	7	19
8	таким образом	5	17
9	в этом	11	16
10	как бы	14	15
11	прежде всего	11	13
12	как и	7	12
13	и пр	9	12
14	так и	5	11
15	если мы	5	11
16	и для	5	11
17	в самом	2	10
18	в нем	5	10
19	– в	15	10
20	лишь в	2	9
21	в результате	6	9
22	только в	7	9
23	при этом	2	8
24	но и	4	8
25	то ни	4	8
26	не только	8	8
27	все же	2	8
28	то что	16	8
29	– это	5	8
30	все эти	3	7
31	так же	4	7
32	но в	3	7
33	в ее	2	7
34	во всех	2	7
35	то же	9	7
36	а не	18	7
37	в смысле	5	6
38	в том	11	6
39	кроме того	2	6
40	– не	5	6
41	другой стороны	2	6
42	отнюдь не	4	6
43	в его	4	6
44	мы не	9	6
45	ничего не	17	6
46	именно в	5	5
47	не в	8	5
48	конечно не	2	5
49	и потому	3	5
50	и все	11	5
51	к этому	3	5
52	вовсе не	6	5
53	необходимо чтобы	2	5
54	за пределы	3	5
55	того чтобы	5	5
56	хотя бы	4	5
57	во всяком	2	5
58	ничего общего	4	5
59	ясно что	11	5
60	отличие от	2	5
61	слово –	2	4
62	что в	7	4
63	не менее	2	4
64	в отношении	2	4
65	вопрос о	2	4
66	как же	5	4
67	в ней	5	4
68	это –	25	4
69	от того	2	4
70	и на	5	4
71	сказать что	6	4
72	чем же	2	4
73	с этим	3	4
74	по себе	13	4
75	– и	4	4
76	еще не	4	4
77	было бы	9	4
78	нет и	2	4
79	не будет	2	4
80	что же	2	4
81	как в	3	4
82	для того	5	4
83	в данном	3	4
84	отношении к	2	4
85	психической жизни	2	4
86	и есть	19	3
87	а как	2	3
88	по законам	2	3
89	можно сказать	5	3
90	в целях	2	3
91	теперь мы	7	3
92	и как	4	3
93	но именно	2	3
94	же время	6	3
95	не дает	2	3
96	в котором	2	3
97	из них	2	3
98	все это	9	3
99	не было	2	3
100	того что	13	3
101	не имеет	14	3
102	от одного	2	3
103	в то	6	3
104	нет ничего	6	3
105	сознания и	3	3
106	не могут	2	3
107	в каком	5	3
108	том что	10	3
109	и при	2	3
110	мы должны	4	3
111	одной из	2	3
112	совершенно не	3	3
113	в сущности	5	3
114	общего с	3	3
115	не есть	40	3
116	в своей	3	3
117	– то	3	3
118	быть и	3	3
119	в истории	3	3
120	– все	3	3
121	это и	9	3
122	должны быть	4	3
123	и следовательно	3	3
124	но все	2	3
125	и ее	8	3
126	и это	8	3
127	в которой	2	3
128	в области	3	3
129	сама по	5	2
130	должна быть	7	2
131	в частности	2	2
132	никогда не	2	2
133	в своем	5	2
134	что все	4	2
135	одной и	3	2
136	тем не	2	2
137	ни в	8	2
138	свою очередь	2	2
139	в свою	3	2
140	мог бы	2	2
141	понять и	2	2
142	и той	3	2
143	совпадает с	2	2
144	но для	2	2
145	для всех	3	2
146	но если	5	2
147	в виду	9	2
148	себе и	2	2
149	с ее	10	2
150	жизни и	4	2
151	и их	2	2
152	может осуществиться	3	2
153	и только	2	2
154	– как	5	2
155	не просто	7	2
156	в данный	2	2
157	в каком-нибудь	2	2
158	и даже	6	2
159	должно быть	2	2
160	с этой	2	2
161	же и	2	2
162	допустим что	2	2
163	из этих	2	2
164	момент –	2	2
165	о том	5	2
166	этом смысле	4	2
167	так как	14	2
168	бы в	4	2
169	нет ни	3	2
170	и с	4	2
171	от этого	3	2
172	в основе	10	2
173	если бы	6	2
174	и та	3	2
175	не как	4	2
176	и во	2	2
177	быть в	5	2
178	что он	7	2
179	в себе	8	2
180	данный момент	2	2
181	у нас	3	2
182	то в	5	2
183	этот момент	3	2
184	самом же	2	2
185	от него	3	2
186	в качестве	2	2
187	она не	4	2
188	другими словами	5	2
189	мы уже	3	2
190	ни о	3	2
191	как вещь	2	2
192	или вообще	3	2
193	что и	6	2
194	нем нет	2	2
195	бы и	3	2
196	как раз	4	2
197	к своему	2	2
198	что не	3	2
199	из которых	3	2
200	что такое	5	2
201	той же	5	2
202	или в	7	2
203	или иначе	2	2
204	то мы	3	2
205	мы можем	3	2
206	тем что	2	2
207	могут быть	3	2
208	и вообще	7	2
209	и вне	2	2
210	от нее	3	2
211	в чем	8	2
