N	2gram	Propp_Russ_2	Istorich
1	в лесу	10	26
2	и в	29	22
3	мы имеем	6	19
4	в этом	11	17
5	и т	5	16
6	т е	24	16
7	т д	5	15
8	что в	22	15
9	не только	10	14
10	мы видели	7	13
11	в дом	8	12
12	в лес	3	12
13	но и	8	12
14	и пр	2	11
15	может быть	13	11
16	в этих	3	11
17	или в	7	11
18	еще не	6	10
19	таким образом	6	10
20	после чего	2	10
21	но в	5	10
22	что и	2	9
23	вместе с	6	9
24	в том	22	9
25	с этим	2	8
26	том что	22	8
27	как мы	3	8
28	с другой	2	7
29	к этому	5	7
30	предположить что	4	7
31	но не	5	7
32	то что	5	7
33	из них	4	7
34	уже не	4	7
35	этих случаях	4	7
36	так как	13	7
37	там где	2	7
38	связи с	2	6
39	в них	4	6
40	это не	5	6
41	что здесь	3	6
42	с ней	5	6
43	не все	4	6
44	связь с	3	6
45	то и	4	6
46	а в	9	6
47	то же	4	6
48	в течение	2	6
49	а не	4	6
50	друг друга	3	6
51	так в	2	6
52	во время	12	6
53	а он	2	5
54	на голову	6	5
55	не менее	2	5
56	показывает что	8	5
57	в обряде	6	5
58	тем не	2	5
59	живет в	3	5
60	так что	4	5
61	один из	2	5
62	все же	2	5
63	этом случае	6	5
64	что она	3	5
65	в свете	3	5
66	здесь мы	2	5
67	того что	3	5
68	к нему	4	5
69	могут быть	2	5
70	в некоторых	9	5
71	в этой	3	5
72	видели что	4	4
73	и там	3	4
74	и другие	14	4
75	не всегда	3	4
76	как это	4	4
77	у нас	4	4
78	не в	4	4
79	на этом	3	4
80	из земли	4	4
81	она не	3	4
82	одним из	2	4
83	к ней	2	4
84	что на	2	4
85	связано с	2	4
86	для нас	6	4
87	а именно	3	4
88	мы здесь	2	4
89	и на	6	4
90	в данном	6	4
91	не может	5	4
92	но он	3	4
93	тем что	3	4
94	представляют собой	7	4
95	все эти	3	4
96	в других	15	4
97	и с	10	4
98	должны были	2	3
99	для них	2	3
100	состоит в	15	3
101	и от	3	3
102	и все	4	3
103	представление о	5	3
104	прежде всего	2	3
105	не что	2	3
106	царство мертвых	2	3
107	а затем	4	3
108	как и	11	3
109	и как	2	3
110	за ним	3	3
111	представляет собой	2	3
112	а через	2	3
113	смерти в	2	3
114	было бы	3	3
115	имеем не	2	3
116	выше мы	3	3
117	не совсем	2	3
118	никогда не	2	3
119	в русских	4	3
120	не будем	3	3
121	ее в	8	3
122	данном случае	7	3
123	должен был	3	3
124	на нее	6	3
125	следующим образом	5	3
126	так же	4	3
127	иное как	2	3
128	потому что	5	3
129	и ее	2	3
130	из этих	2	3
131	что иное	2	3
132	далеко не	4	3
133	о том	9	3
134	его в	8	3
135	их в	4	3
136	приведенных материалов	2	3
137	не было	2	2
138	с тем	6	2
139	обряда в	3	2
140	представления о	2	2
141	если он	2	2
142	вопрос о	4	2
143	нет никаких	2	2
144	же в	6	2
145	одна из	11	2
146	с одной	2	2
147	как в	7	2
148	при этом	6	2
149	на другой	2	2
150	в качестве	3	2
151	то время	2	2
152	после того	2	2
153	на себя	2	2
154	одной стороны	2	2
155	совершенно не	2	2
156	лесу в	2	2
157	и о	3	2
158	же как	4	2
159	в этот	10	2
160	в котором	3	2
161	к жизни	5	2
162	не имеет	3	2
163	не с	2	2
164	должно было	3	2
165	после этого	2	2
166	на землю	3	2
167	но она	2	2
168	отправляется в	2	2
169	где они	2	2
170	сюда же	2	2
171	сказки о	2	2
172	на самом	2	2
173	этот вопрос	2	2
174	мы рассмотрим	4	2
175	там же	12	2
176	ней в	2	2
177	образом в	2	2
178	и что	5	2
179	и для	2	2
180	девушки в	3	2
181	будем здесь	2	2
182	в которых	4	2
183	и потом	4	2
184	и то	2	2
185	между тем	3	2
186	в виде	4	2
187	в то	2	2
188	видно что	2	2
189	смерть и	2	2
190	во многих	9	2
191	такая форма	2	2
192	а также	4	2
193	что по	4	2
194	в него	2	2
195	лесу или	3	2
196	этот обряд	6	2
