N	2gram	Voloshinov_2	Psycholo
1	то что	4	37
2	и в	19	30
3	в том	7	27
4	что в	2	24
5	том что	10	21
6	все время	2	20
7	для того	6	20
8	таким образом	14	20
9	того чтобы	6	20
10	как бы	19	19
11	что он	4	17
12	на то	4	17
13	если мы	6	16
14	не только	13	16
15	в самом	6	14
16	в этом	15	14
17	так же	5	13
18	как раз	4	13
19	то есть	2	13
20	одной стороны	3	12
21	в сущности	14	12
22	вместе с	2	12
23	с одной	3	12
24	если бы	11	11
25	может быть	28	11
26	как на	2	11
27	о том	3	10
28	никогда не	7	9
29	с другой	3	9
30	мы увидим	2	9
31	не может	18	9
32	и то	3	9
33	сказать что	4	9
34	так как	3	9
35	что это	2	8
36	тому что	4	8
37	к тому	6	8
38	не в	10	8
39	а не	9	8
40	при этом	9	8
41	того что	4	8
42	самом деле	9	8
43	могут быть	3	8
44	и это	3	8
45	по себе	3	7
46	в нем	11	7
47	и как	6	7
48	зависимости от	2	7
49	но не	2	7
50	мы можем	6	7
51	все же	5	7
52	то же	16	7
53	точки зрения	17	7
54	в основе	9	7
55	уже в	2	6
56	в зависимости	2	6
57	в своем	2	6
58	именно в	2	6
59	как и	9	6
60	совершенно не	5	6
61	и тем	4	6
62	и для	7	6
63	но и	10	6
64	что оно	3	6
65	и не	19	6
66	жизни и	2	6
67	и его	16	6
68	или в	2	6
69	и здесь	5	6
70	тем что	2	6
71	мы уже	6	6
72	как мы	15	5
73	и потому	2	5
74	в этой	3	5
75	что они	2	5
76	еще не	3	5
77	до сих	3	5
78	было бы	4	5
79	сих пор	3	5
80	а с	2	5
81	сводится к	2	5
82	в двух	3	5
83	рядом с	2	5
84	в себе	4	5
85	но в	7	5
86	только в	8	5
87	же самое	6	5
88	ответ на	2	5
89	бы в	4	5
90	от него	2	4
91	и все	6	4
92	прежде всего	7	4
93	стороны и	2	4
94	у нас	3	4
95	в своей	3	4
96	в ней	3	4
97	в его	5	4
98	не есть	3	4
99	исходит из	3	4
100	и именно	2	4
101	только на	4	4
102	только что	3	4
103	имеет дело	2	4
104	а в	3	4
105	там где	2	4
106	о чем	2	4
107	не существует	3	3
108	находит себе	2	3
109	у него	2	3
110	одним и	2	3
111	хотя бы	6	3
112	это не	4	3
113	формы и	2	3
114	не как	3	3
115	к этому	5	3
116	вовсе не	11	3
117	в учении	2	3
118	вопрос о	2	3
119	самого начала	5	3
120	одно и	3	3
121	с самого	5	3
122	находятся в	2	3
123	одна из	7	3
124	в свою	6	3
125	для него	9	3
126	он не	3	3
127	как из	2	3
128	в ее	3	3
129	что и	3	3
130	ни в	6	3
131	так и	10	3
132	в их	5	3
133	в той	5	3
134	и о	2	3
135	тем же	4	3
136	в таком	7	3
137	той же	3	3
138	мы не	2	3
139	и на	5	3
140	в каком	3	3
141	в данном	5	3
142	совершенно справедливо	2	3
143	в другом	3	3
144	в этих	3	3
145	перед нами	3	2
146	в отношении	4	2
147	такое понимание	2	2
148	с его	8	2
149	и пытается	2	2
150	в душе	4	2
151	связи с	13	2
152	к которым	3	2
153	не является	8	2
154	в одной	2	2
155	с этим	3	2
156	а как	4	2
157	или иной	5	2
158	с помощью	6	2
159	мы знаем	2	2
160	он был	2	2
161	до конца	2	2
162	нас не	2	2
163	и того	5	2
164	того же	5	2
165	или вернее	2	2
166	должна быть	4	2
167	одного и	4	2
168	слов и	3	2
169	к другому	5	2
170	и эта	2	2
171	и следовательно	6	2
172	той или	4	2
173	в качестве	3	2
174	в котором	3	2
175	должен быть	2	2
176	не с	2	2
177	форма является	2	2
178	иное как	2	2
179	речь в	4	2
180	во всех	6	2
181	быть и	6	2
182	и до	3	2
183	отношения к	2	2
184	в форме	5	2
185	мы только	3	2
186	по отношению	8	2
187	мы никогда	2	2
188	в отличие	3	2
189	приводит к	2	2
190	с точки	13	2
191	и даже	2	2
192	и он	2	2
193	между ними	2	2
194	должно быть	3	2
195	отличие от	3	2
196	ничего не	4	2
197	от одного	3	2
198	и с	2	2
199	является в	2	2
200	в нашем	2	2
201	это же	2	2
202	даже и	2	2
203	в то	8	2
204	не знает	2	2
205	все то	2	2
206	если же	2	2
207	перейдем к	2	2
208	все эти	3	2
209	это будет	2	2
210	на самом	7	2
