N	2gram	Tiupa_Anal_3	UchenyiS
1	и в	18	14
2	а не	9	10
3	не только	22	10
4	и не	12	8
5	прежде всего	5	8
6	то что	2	7
7	в этом	14	7
8	не может	2	7
9	в искусстве	2	6
10	может быть	9	6
11	эстетического объекта	2	6
12	все это	3	5
13	то же	3	5
14	но и	13	4
15	в этой	6	4
16	конечном счете	2	4
17	в их	6	4
18	с другой	7	4
19	в конечном	2	4
20	только к	2	3
21	но в	2	3
22	как и	14	3
23	все же	4	3
24	в частности	12	3
25	очевидно что	2	3
26	же время	3	3
27	другой стороны	5	3
28	для него	6	3
29	это не	2	3
30	в то	3	3
31	не как	2	3
32	было бы	3	3
33	и т.д	2	3
34	или точнее	2	3
35	том что	12	2
36	но не	7	2
37	в том	9	2
38	мы не	3	2
39	с его	8	2
40	не есть	4	2
41	крайней мере	4	2
42	не в	6	2
43	и для	2	2
44	бы и	2	2
45	представляется нам	2	2
46	в противовес	2	2
47	не столько	3	2
48	о чем	4	2
49	не случайно	8	2
50	только в	2	2
51	тем что	2	2
52	могут быть	2	2
53	что он	4	2
54	все они	2	2
55	вопроса о	2	2
56	в себе	2	2
57	как раз	7	2
58	что мы	2	2
59	в конце	5	2
60	могли бы	2	2
61	на эту	2	2
62	этом отношении	3	2
63	в самом	5	2
64	в итоге	4	2
65	нам представляется	2	2
66	по себе	4	2
67	сводится к	2	2
68	ничего не	3	2
69	самом деле	2	2
70	для всех	2	2
71	по крайней	4	2
72	что она	2	2
73	что и	5	2
74	в его	7	2
75	более чем	2	2
76	между тем	5	2
77	таким образом	4	2
