N	2gram	Vinokur_Vv_1	Tvorches
1	и в	27	20
2	не только	21	13
3	и т	43	13
4	никогда не	3	11
5	т д	37	11
6	как бы	5	11
7	в его	10	10
8	таким образом	19	10
9	в то	5	10
10	и его	5	9
11	и не	13	9
12	прежде всего	8	8
13	в том	31	8
14	при этом	3	8
15	но и	5	8
16	может быть	24	8
17	в этом	34	8
18	и с	2	8
19	это не	8	7
20	же время	5	7
21	наряду с	2	7
22	что в	11	7
23	не может	13	7
24	то же	8	7
25	потому что	14	7
26	в конце	3	6
27	что он	4	6
28	как и	5	6
29	в целом	5	6
30	в своей	4	6
31	все это	6	6
32	именно в	8	6
33	а не	3	6
34	романов достоевского	2	5
35	еще не	4	5
36	но не	7	5
37	и сам	2	5
38	например в	2	5
39	все же	8	5
40	и даже	5	5
41	так же	3	5
42	и на	3	5
43	в этой	3	5
44	о том	15	5
45	об этом	5	4
46	за собой	3	4
47	мы не	2	4
48	в соответствии	2	4
49	том что	26	4
50	в дальнейшем	2	4
51	соответствии с	2	4
52	хотя и	3	4
53	что она	3	4
54	в известной	3	4
55	все эти	3	4
56	в принципе	2	4
57	не в	8	4
58	а в	5	4
59	в чем	4	4
60	ничего не	2	4
61	если бы	2	4
62	но в	10	4
63	он сам	3	3
64	же как	3	3
65	казалось бы	2	3
66	с этой	4	3
67	к этому	3	3
68	по самой	2	3
69	но зато	2	3
70	отношению к	4	3
71	одна из	2	3
72	так например	6	3
73	что не	5	3
74	одной из	3	3
75	своего рода	3	3
76	в самом	12	3
77	в котором	4	3
78	и др	2	3
79	один из	6	3
80	в нем	13	3
81	то что	17	3
82	но уже	2	3
83	и это	6	3
84	вместе с	6	3
85	сих пор	5	3
86	д в	2	3
87	в их	11	3
88	по отношению	4	3
89	тогда как	2	3
90	так как	13	3
91	уже не	5	3
92	одним из	5	3
93	самой своей	2	3
94	этот вопрос	4	3
95	тем что	6	3
96	в своих	2	3
97	в которых	6	3
98	в себе	4	3
99	в начале	3	3
100	его в	6	3
101	традиции и	4	3
102	между тем	8	3
103	до сих	5	3
104	ни к	2	2
105	уже в	5	2
106	зависит от	3	2
107	не менее	8	2
108	и есть	3	2
109	и без	2	2
110	с другой	8	2
111	влечет за	2	2
112	по крайней	4	2
113	в одном	4	2
114	вовсе не	6	2
115	в этот	2	2
116	во всяком	3	2
117	и ее	4	2
118	крайней мере	4	2
119	в ее	11	2
120	у нас	2	2
121	так что	5	2
122	как о	4	2
123	известной мере	2	2
124	в частности	3	2
125	том же	2	2
126	но если	3	2
127	человеческой культуры	2	2
128	в руки	6	2
129	всяком случае	3	2
130	не могли	2	2
131	себя в	2	2
132	критики и	2	2
133	него в	2	2
134	в истории	9	2
135	и тогда	3	2
136	и далее	2	2
137	в отличие	3	2
138	т п	5	2
139	уже после	3	2
140	и других	3	2
141	самом деле	6	2
142	и что	4	2
143	может служить	3	2
144	на этот	4	2
145	другой стороны	5	2
146	нет сомнений	2	2
147	рядом с	2	2
148	не столько	2	2
149	из них	3	2
150	в виде	4	2
151	могут быть	4	2
152	говорить о	3	2
153	и вообще	3	2
154	только в	13	2
155	но ведь	4	2
156	при помощи	2	2
157	только с	3	2
158	познания и	2	2
159	отличие от	3	2
