N	3gram	Losev_Prob_3	Vladivir
1	в том что	9	9
2	в связи с	7	8
3	в то время	4	6
4	тем не менее	10	6
5	во всяком случае	6	6
6	что же касается	4	5
7	и то что	7	5
8	по крайней мере	5	4
9	содержит в себе	3	4
10	необходимо сказать что	2	4
11	о том что	3	3
12	дело в том	3	3
13	с точки зрения	2	3
14	в то же	4	3
15	на этот раз	3	3
16	никакого отношения к	3	3
17	у нас выше	2	3
18	точно так же	3	3
19	в отличие от	2	3
20	в конце концов	3	3
21	в данном случае	7	2
22	и в его	3	2
23	на первый план	2	2
24	хотя и не	2	2
25	не только в	2	2
26	а то что	2	2
27	сам по себе	6	2
28	не имеет никакого	3	2
29	само по себе	3	2
30	можно было бы	3	2
31	как мы видели	2	2
32	в настоящее время	2	2
33	или по крайней	4	2
34	заключается в том	3	2
