N	2gram	Vinokur_Ku_1	Istorich
1	и в	24	25
2	что он	6	22
3	вместе с	7	22
4	и т	33	20
5	т д	14	18
6	представление о	3	17
7	может быть	13	17
8	т е	38	16
9	мы имеем	6	14
10	не только	10	13
11	но и	6	13
12	в его	12	12
13	и не	12	11
14	уже не	8	11
15	так как	9	11
16	все же	12	10
17	в этом	14	10
18	тем что	8	10
19	с другой	7	9
20	и его	5	9
21	таким образом	12	9
22	с тем	5	8
23	связи с	7	8
24	что в	17	8
25	этих случаях	2	8
26	том что	21	8
27	еще не	5	8
28	другой стороны	6	8
29	все эти	6	8
30	и что	5	8
31	и на	4	8
32	в частности	4	7
33	в качестве	7	7
34	как и	2	7
35	то что	9	7
36	этом случае	2	7
37	в нем	4	7
38	превращается в	2	7
39	потому что	23	7
40	и здесь	3	7
41	только в	11	7
42	о том	9	7
43	в этих	4	6
44	это не	7	6
45	прежде всего	9	6
46	что и	4	6
47	как в	4	6
48	не может	7	6
49	и он	3	6
50	не в	11	6
51	или в	2	6
52	в том	30	6
53	там где	4	6
54	что это	5	5
55	ясно что	3	5
56	с этим	4	5
57	для нас	2	5
58	но все	2	5
59	но не	5	5
60	мы увидим	3	5
61	связано с	3	5
62	например в	5	5
63	в ней	6	5
64	так же	4	5
65	не менее	7	4
66	если не	3	4
67	что все	2	4
68	не всегда	2	4
69	и тем	2	4
70	тем не	4	4
71	в пределах	4	4
72	а именно	2	4
73	все это	6	4
74	в связи	3	4
75	то же	8	4
76	в истории	3	4
77	от этого	2	4
78	он не	2	4
79	в которой	6	4
80	с ним	5	4
81	того как	4	4
82	никогда не	2	3
83	и как	2	3
84	в более	2	3
85	и все	2	3
86	в целом	4	3
87	в свою	3	3
88	что его	2	3
89	в этой	3	3
90	в то	2	3
91	того чтобы	17	3
92	и пр	15	3
93	на том	3	3
94	о нем	2	3
95	если в	2	3
96	на себя	3	3
97	то это	3	3
98	но уже	5	3
99	в особенности	3	3
100	для того	16	3
101	а в	5	3
102	его к	3	3
103	в которых	6	3
104	в данном	4	3
105	и с	5	3
106	они не	3	3
107	в таких	4	3
108	е в	2	3
109	уже в	3	2
110	уже и	3	2
111	под влиянием	3	2
112	только тогда	3	2
113	тогда когда	6	2
114	вовсе не	10	2
115	вопрос о	2	2
116	по себе	2	2
117	на то	4	2
118	можно сказать	3	2
119	так что	4	2
120	же в	4	2
121	с этой	2	2
122	по существу	4	2
123	и при	2	2
124	очевидно что	3	2
125	а на	2	2
126	того же	4	2
127	социальной жизни	2	2
128	до сих	4	2
129	в это	2	2
130	несмотря на	3	2
131	и мы	2	2
132	если бы	9	2
133	от себя	2	2
134	одним из	2	2
135	как бы	7	2
136	и потому	4	2
137	по мере	3	2
138	даже в	3	2
139	один из	4	2
140	должен быть	4	2
141	сих пор	4	2
142	в своей	2	2
143	отношению к	9	2
144	еще один	2	2
145	когда он	3	2
146	том чтобы	8	2
147	ее в	2	2
148	со стороны	4	2
149	так например	2	2
150	по отношению	8	2
151	и для	2	2
152	здесь как	2	2
153	самом деле	9	2
154	а не	8	2
155	того что	9	2
156	эти случаи	2	2
157	роль в	4	2
158	точки зрения	14	2
159	к формам	3	2
160	из них	4	2
161	в свое	2	2
162	а если	3	2
163	не потому	5	2
164	ничего не	2	2
165	о чем	2	2
166	это было	2	2
167	том как	3	2
