N	2gram	Losev_Vlad_3	Problemy
1	и не	25	31
2	и в	40	29
3	в его	14	24
4	может быть	8	24
5	а не	8	22
6	в этом	16	22
7	как бы	3	19
8	в нем	3	19
9	точки зрения	13	19
10	для него	8	18
11	не только	25	15
12	то что	28	15
13	не как	2	14
14	но и	18	14
15	и его	10	14
16	то же	4	14
17	уже не	9	13
18	с точки	6	13
19	как и	7	12
20	не может	14	12
21	таким образом	11	12
22	в одном	5	10
23	этом смысле	3	10
24	в самом	4	10
25	в то	7	10
26	только в	13	10
27	с его	2	9
28	это не	3	9
29	все же	4	9
30	но не	4	9
31	же время	2	9
32	все эти	5	9
33	если бы	3	9
34	в своем	8	8
35	до конца	4	8
36	по себе	6	8
37	что он	5	8
38	что в	17	8
39	как не	2	8
40	в своей	9	8
41	потому что	11	8
42	в том	18	8
43	прежде всего	10	7
44	вовсе не	13	7
45	том что	18	7
46	не в	3	7
47	она не	2	7
48	за пределы	3	7
49	так и	6	7
50	и как	7	7
51	а в	7	7
52	и на	6	7
53	в себе	9	7
54	но в	4	7
55	в конце	12	6
56	не могут	2	6
57	в целом	2	6
58	несмотря на	7	6
59	к нему	3	6
60	был бы	3	6
61	что она	2	6
62	как раз	10	6
63	в мире	2	6
64	так же	8	6
65	его в	2	6
66	и потому	10	6
67	так как	7	6
68	перед нами	3	5
69	должна быть	2	5
70	именно в	3	5
71	было бы	4	5
72	но все	3	5
73	еще не	4	5
74	в сущности	2	5
75	и о	4	5
76	у него	24	5
77	он не	8	5
78	на самом	3	5
79	конце концов	5	5
80	с их	3	5
81	во всяком	3	5
82	и это	6	5
83	ничего не	5	5
84	или как	4	5
85	все то	3	4
86	в результате	4	4
87	раз и	8	4
88	бы и	4	4
89	что и	7	4
90	но это	6	4
91	и с	9	4
92	даже в	4	4
93	от того	4	4
94	не на	2	4
95	и для	3	4
96	не было	5	4
97	тем что	5	4
98	как мы	8	4
99	и наконец	2	4
100	должно быть	5	4
101	в этой	8	4
102	но у	2	4
103	что же	9	4
104	уже в	3	3
105	я не	3	3
106	он сам	2	3
107	никогда не	11	3
108	с другой	5	3
109	ни в	10	3
110	по существу	4	3
111	кроме того	6	3
112	всяком случае	3	3
113	себе и	2	3
114	на почве	2	3
115	оно не	3	3
116	в духе	3	3
117	только то	2	3
118	на него	2	3
119	в их	2	3
120	другой стороны	2	3
121	тому что	4	3
122	как на	3	3
123	точке зрения	2	3
124	этом отношении	2	3
125	и у	3	3
126	друг друга	2	3
127	отличается от	3	3
128	и здесь	6	3
129	его творчества	2	3
130	в своих	7	3
131	сказать что	12	3
132	но с	2	3
133	само по	3	3
134	но как	2	3
135	мы должны	4	3
136	далеко не	3	3
137	бы в	2	3
138	отношения к	5	3
139	он понимает	2	2
140	связи с	2	2
141	нему и	2	2
142	в настоящем	2	2
143	то ни	3	2
144	хотя бы	6	2
145	с этой	2	2
146	и от	6	2
147	в жизни	2	2
148	вопрос о	4	2
149	для понимания	2	2
150	и к	2	2
151	не есть	10	2
152	является для	2	2
153	же в	3	2
154	так что	14	2
155	является не	3	2
156	чем в	4	2
157	бы то	3	2
158	при этом	3	2
159	есть и	4	2
160	во что	2	2
161	на себя	2	2
162	него в	4	2
163	жизни а	2	2
164	он ни	2	2
165	которые были	2	2
166	никак не	4	2
167	не о	2	2
168	в котором	4	2
169	как можно	2	2
170	нисколько не	3	2
171	данном случае	2	2
172	мы уже	5	2
173	находится в	3	2
174	в отношении	5	2
175	в изображении	2	2
176	и вполне	2	2
177	то и	2	2
178	и даже	6	2
179	в смысле	6	2
180	и что	8	2
181	весь этот	3	2
182	можно было	5	2
183	в данном	5	2
184	то он	4	2
185	в ней	5	2
186	как например	2	2
187	для себя	5	2
188	в истории	5	2
189	в россии	3	2
190	заметить что	2	2
191	в которой	2	2
192	же не	2	2
193	же и	2	2
194	нет ни	2	2
195	с этим	2	2
196	тоже не	5	2
197	по преимуществу	2	2
