N	2gram	Losev_Dial_3	FransuaR
1	и в	24	45
2	и не	27	15
3	не только	23	14
4	в этом	8	14
5	но в	2	14
6	в его	2	13
7	и его	5	13
8	как бы	3	12
9	что в	7	12
10	в своем	3	11
11	то же	6	11
12	в то	5	11
13	прежде всего	8	10
14	в том	5	10
15	в нем	3	10
16	но и	9	10
17	как и	7	10
18	и с	6	10
19	же время	3	9
20	вовсе не	13	8
21	как мы	2	8
22	в ней	2	8
23	жизни и	5	8
24	таким образом	13	8
25	так же	4	8
26	мира и	3	8
27	с его	2	7
28	том что	8	7
29	не в	3	7
30	что и	6	7
31	все это	6	7
32	также и	2	7
33	потому что	7	7
34	и все	6	7
35	что он	13	6
36	он не	5	6
37	так и	5	6
38	для того	3	6
39	так как	6	6
40	в них	5	6
41	есть и	12	5
42	и к	5	5
43	это и	7	5
44	но это	5	5
45	на этом	2	5
46	со всеми	2	5
47	например в	2	5
48	хотя и	5	5
49	как раз	7	5
50	не может	19	5
51	все эти	3	5
52	самом деле	6	5
53	и у	2	5
54	и как	8	5
55	и на	3	5
56	перед нами	3	4
57	же как	2	4
58	об этом	6	4
59	и во	2	4
60	и от	3	4
61	мы не	5	4
62	у него	2	4
63	и здесь	2	4
64	его как	3	4
65	тому же	2	4
66	но не	2	4
67	ничего не	17	4
68	кроме того	6	4
69	в самом	7	4
70	в сущности	10	4
71	и о	3	4
72	мы уже	3	4
73	в их	2	4
74	а не	26	4
75	и даже	13	4
76	его не	2	4
77	как на	5	4
78	а в	2	4
79	той же	3	4
80	сказать что	4	4
81	в основе	3	4
82	с этим	3	4
83	точки зрения	25	4
84	только в	5	4
85	о том	6	4
86	и это	4	4
87	бы в	2	4
88	как это	5	4
89	это было	3	4
90	не менее	11	3
91	и ни	3	3
92	от его	2	3
93	вообще не	2	3
94	это не	4	3
95	но они	2	3
96	в одной	3	3
97	из этих	2	3
98	мир и	3	3
99	ни в	9	3
100	по существу	2	3
101	но на	2	3
102	есть в	3	3
103	с полной	3	3
104	то время	4	3
105	для него	4	3
106	от того	4	3
107	но она	3	3
108	что она	9	3
109	но его	3	3
110	и прежде	3	3
111	не было	3	3
112	еще и	2	3
113	именно в	2	3
114	всего этого	2	3
115	и вот	2	3
116	того что	12	3
117	и он	2	3
118	не имеет	11	3
119	и для	2	3
120	он и	3	3
121	с которой	2	2
122	не могут	4	2
123	и есть	16	2
124	себя и	2	2
125	в ущерб	3	2
126	и без	3	2
127	говорить о	4	2
128	превращается в	6	2
129	хотя бы	4	2
130	он должен	3	2
131	перестает быть	2	2
132	что все	14	2
133	в условиях	2	2
134	к тому	4	2
135	то что	14	2
136	и она	2	2
137	ведь это	2	2
138	было бы	5	2
139	что это	12	2
140	несмотря на	2	2
141	и если	2	2
142	конечно не	4	2
143	может быть	13	2
144	утверждают что	3	2
145	нет и	4	2
146	все же	3	2
147	вот это	3	2
148	а именно	2	2
149	так в	2	2
150	и только	6	2
151	в особенности	7	2
152	на котором	2	2
153	при этом	2	2
154	в истории	4	2
155	и что	15	2
156	и больше	4	2
157	с точки	14	2
158	и притом	5	2
159	к нему	3	2
160	жизнь и	4	2
161	нас в	2	2
162	в данном	2	2
163	одно из	5	2
164	она и	2	2
165	и вообще	2	2
166	и жизни	6	2
167	уже и	3	2
168	в чем	4	2
169	нет ни	2	2
