N	3gram	Bakhtin_sl_1	KulturaY
1	и т п	23	24
2	и т д	5	14
3	можно было бы	2	9
4	с точки зрения	8	8
5	с другой стороны	4	7
6	во всяком случае	5	5
7	в зависимости от	3	4
8	не только в	2	4
9	или меньшей степени	3	3
10	в лучшем случае	2	3
11	большей или меньшей	4	3
12	в большей или	3	3
13	в то же	12	3
14	то же время	12	3
15	и в другом	2	2
16	может быть только	2	2
17	в узком смысле	10	2
18	каждый данный момент	4	2
19	хотя бы и	3	2
20	в свою очередь	2	2
21	и в том	2	2
22	в каждый данный	5	2
23	того или иного	2	2
24	в этом случае	2	2
25	в широком смысле	2	2
