N	2gram	Berdyaev_M_1	Problema
1	и не	11	28
2	то есть	3	27
3	не только	29	24
4	только в	6	23
5	в том	6	20
6	и в	28	20
7	все эти	2	16
8	смысле слова	4	15
9	то что	5	15
10	потому что	16	15
11	у нас	5	14
12	было бы	10	14
13	но и	25	14
14	точки зрения	4	14
15	не в	16	13
16	также и	2	13
17	даже и	2	13
18	не есть	9	12
19	в себе	7	12
20	том что	3	12
21	прежде всего	10	11
22	как будто	2	11
23	и его	9	10
24	это значит	3	10
25	может быть	30	9
26	все это	6	9
27	в этом	20	9
28	если бы	2	8
29	что он	10	8
30	в той	2	8
31	и все	10	8
32	но в	7	8
33	значит что	4	8
34	это не	5	7
35	и потому	10	7
36	а не	25	7
37	сказать что	2	7
38	и с	3	7
39	в ней	15	7
40	хотя бы	3	7
41	и от	2	6
42	для нас	3	6
43	как и	5	6
44	есть не	4	6
45	по своему	2	6
46	но если	3	6
47	в виду	2	6
48	в каком	2	6
49	не существует	2	5
50	но не	8	5
51	в нем	13	5
52	в ее	3	5
53	человеческой жизни	2	5
54	жизни и	2	5
55	вместе с	6	5
56	как в	2	5
57	не может	28	5
58	в них	4	5
59	только и	3	5
60	так как	3	5
61	уже не	4	5
62	когда мы	2	5
63	в этих	4	5
64	о том	2	5
65	уже в	4	4
66	с тем	9	4
67	и есть	14	4
68	у достоевского	42	4
69	и для	2	4
70	и во	2	4
71	в самой	7	4
72	это и	4	4
73	в этой	6	4
74	в своей	15	4
75	как бы	2	4
76	не имеет	3	4
77	ни с	4	4
78	отличается от	2	4
79	с этим	3	4
80	а в	4	4
81	в то	2	4
82	с ним	2	4
83	человека в	13	3
84	к тому	3	3
85	вообще не	2	3
86	о себе	3	3
87	в жизни	3	3
88	с собой	3	3
89	и к	2	3
90	все в	6	3
91	он был	14	3
92	для него	11	3
93	и как	2	3
94	это есть	3	3
95	в начале	2	3
96	в истории	2	3
97	учение о	3	3
98	себе и	2	3
99	конечно не	3	3
100	в его	9	3
101	и этот	4	3
102	не так	3	3
103	что и	4	3
104	что в	10	3
105	бы и	3	3
106	в своем	10	3
107	не было	18	3
108	и сама	2	3
109	для того	2	3
110	к нему	7	3
111	и на	6	3
112	тем что	4	3
113	нет ничего	7	3
114	за собой	2	2
115	о великом	4	2
116	в конце	7	2
117	и жизнь	2	2
118	с его	3	2
119	нет и	5	2
120	человеческого сознания	2	2
121	на путях	3	2
122	то время	2	2
123	для них	3	2
124	этот путь	3	2
125	нет в	4	2
126	в самом	11	2
127	за пределы	4	2
128	он не	24	2
129	к ней	4	2
130	относится к	2	2
131	время как	2	2
132	никто не	2	2
133	в котором	8	2
134	только один	2	2
135	все же	2	2
136	себя в	3	2
137	не к	4	2
138	с ней	2	2
139	был в	4	2
140	не хотел	3	2
141	если он	5	2
142	жизни в	2	2
143	л толстой	2	2
144	на земле	2	2
145	или к	4	2
146	чтобы не	2	2
147	что без	2	2
148	и что	2	2
149	того чтобы	2	2
150	и он	12	2
151	и по	4	2
152	есть только	2	2
153	и уж	2	2
154	образ и	2	2
155	и когда	2	2
156	xix века	4	2
157	будто бы	3	2
158	его в	3	2
159	и это	12	2
160	том смысле	2	2
161	в которой	6	2
