N	2gram	Propp_Isto_1	Psycholo
1	и в	28	38
2	то что	9	35
3	в том	9	25
4	что в	12	20
5	может быть	25	19
6	и что	10	18
7	на то	4	16
8	что она	5	16
9	в ней	7	15
10	если бы	8	14
11	том что	7	14
12	как бы	2	14
13	и т	25	14
14	потому что	4	14
15	в этой	6	13
16	и мы	2	13
17	в этом	8	13
18	мы видим	11	12
19	было бы	7	12
20	не только	12	12
21	мы увидим	10	12
22	таким образом	8	12
23	не в	9	12
24	что он	10	11
25	что это	8	10
26	то же	12	10
27	же самое	3	10
28	и не	9	10
29	увидим что	5	9
30	все же	10	8
31	с тем	4	8
32	перед нами	3	8
33	с этим	4	8
34	в одном	5	8
35	вовсе не	2	8
36	для нас	13	8
37	как и	4	8
38	так что	4	8
39	и как	2	8
40	видим что	9	8
41	как раз	2	8
42	из этого	2	8
43	с другой	6	7
44	в ее	2	7
45	а не	15	7
46	не может	15	7
47	как мы	3	7
48	а в	7	7
49	между тем	2	7
50	из них	3	6
51	и здесь	7	6
52	к тому	6	6
53	мы видели	2	6
54	с самого	2	6
55	до сих	5	6
56	один из	4	6
57	и если	2	6
58	в котором	3	6
59	указывает на	2	6
60	он не	2	6
61	с одной	4	6
62	так как	6	6
63	если мы	3	6
64	к чему	3	6
65	как это	3	6
66	и его	3	6
67	и на	4	6
68	самого начала	2	6
69	о том	9	6
70	ясно что	2	6
71	там где	4	6
72	я не	3	5
73	должна быть	5	5
74	в своем	5	5
75	в какой	3	5
76	на этом	3	5
77	одной стороны	4	5
78	вместе с	6	5
79	но и	10	5
80	сих пор	5	5
81	другой стороны	5	5
82	и когда	2	5
83	или в	5	5
84	мы не	10	5
85	в другом	3	5
86	в его	5	5
87	могли бы	3	5
88	что если	2	4
89	никогда не	14	4
90	в тех	2	4
91	что они	5	4
92	при этом	3	4
93	не можем	3	4
94	когда он	6	4
95	и для	4	4
96	конечно не	2	4
97	во всех	2	4
98	но если	2	4
99	в нем	2	4
100	что и	6	4
101	ее в	5	4
102	с той	2	4
103	в целом	2	4
104	как в	2	4
105	т д	22	4
106	образом мы	2	4
107	все эти	4	4
108	при помощи	2	4
109	здесь мы	7	4
110	того что	4	4
111	из которых	3	4
112	и даже	4	4
113	время как	3	4
114	что этот	2	4
115	сказать что	5	4
116	и между	2	4
117	только в	11	4
118	и другое	2	4
119	как будто	4	4
120	одна из	2	4
121	в себе	2	4
122	не то	4	4
123	были бы	2	3
124	только для	2	3
125	к этому	2	3
126	в такой	2	3
127	но это	4	3
128	тот же	2	3
129	наряду с	3	3
130	в основе	4	3
131	был бы	2	3
132	должен быть	3	3
133	все это	4	3
134	то и	2	3
135	и только	2	3
136	мы хотим	2	3
137	что не	2	3
138	не так	2	3
139	по его	2	3
140	именно это	2	3
141	к ним	4	3
142	и тем	2	3
143	из всех	2	3
144	того как	3	3
145	тем что	3	3
146	в то	3	3
147	бы в	2	3
148	на это	2	3
149	его в	6	3
150	здесь не	4	3
151	но в	8	3
152	но они	2	2
153	не могут	2	2
154	всех этих	2	2
155	видели что	3	2
156	к своему	2	2
157	и другие	4	2
158	можно назвать	2	2
159	была бы	2	2
160	в этих	7	2
161	между собой	4	2
162	хотя бы	4	2
163	столь же	2	2
164	так например	6	2
165	показывает что	3	2
166	утверждать что	3	2
167	очень часто	3	2
168	и эти	3	2
169	увидим ниже	2	2
170	уже не	3	2
171	по существу	5	2
172	уяснить себе	2	2
173	в силу	5	2
174	что здесь	5	2
175	разве не	2	2
176	то время	3	2
177	здесь в	2	2
178	для него	2	2
179	и часто	2	2
180	том как	2	2
181	они не	4	2
182	мы в	2	2
183	например в	5	2
184	должен был	3	2
185	исторической действительности	7	2
186	большей частью	2	2
187	в которую	3	2
188	для этого	3	2
189	но мы	2	2
190	то это	3	2
191	не знаем	2	2
192	дело не	5	2
193	со стороны	2	2
194	говорит о	2	2
195	что же	3	2
196	так же	7	2
197	отношения к	2	2
198	в виде	2	2
199	а с	2	2
200	должны были	2	2
201	еще и	2	2
202	не просто	3	2
203	и вот	2	2
204	для всех	2	2
205	не более	2	2
206	и по	3	2
207	есть только	3	2
208	действия и	3	2
209	в качестве	5	2
210	их в	5	2
211	он в	2	2
212	мы нашли	2	2
213	представляет собой	4	2
214	по смыслу	2	2
215	одним словом	4	2
216	в русской	2	2
217	представляют собой	6	2
218	когда мы	2	2
219	с ним	2	2
220	ничего не	2	2
