N	2gram	Voloshinov_1	Istorich
1	и в	38	22
2	мы имеем	2	19
3	в этом	10	17
4	не только	27	14
5	мы видели	5	13
6	но и	13	12
7	и не	14	12
8	и пр	4	11
9	может быть	13	11
10	в этих	2	11
11	или в	2	11
12	еще не	3	10
13	таким образом	7	10
14	но в	5	10
15	что он	2	9
16	в нем	4	9
17	что и	3	9
18	вместе с	5	9
19	в том	2	9
20	с этим	2	8
21	том что	3	8
22	мы видим	3	8
23	как мы	9	8
24	к этому	2	7
25	но не	2	7
26	то что	8	7
27	из них	3	7
28	уже не	4	7
29	и здесь	3	7
30	мы должны	10	7
31	так как	7	7
32	связи с	3	6
33	это не	3	6
34	мы уже	10	6
35	с ней	2	6
36	связь с	2	6
37	а в	5	6
38	то же	14	6
39	а не	6	6
40	друг друга	2	6
41	мы можем	7	6
42	ничего не	8	6
43	если бы	4	6
44	в частности	3	5
45	один из	4	5
46	все же	7	5
47	этом случае	3	5
48	он не	2	5
49	здесь мы	3	5
50	того что	4	5
51	сих пор	2	5
52	к нему	2	5
53	в этой	6	5
54	видели что	3	4
55	не всегда	2	4
56	видим что	2	4
57	как это	5	4
58	у нас	4	4
59	не в	6	4
60	в дальнейшем	2	4
61	с появлением	4	4
62	только в	6	4
63	в свою	6	4
64	связано с	2	4
65	отношение к	2	4
66	для нас	3	4
67	его и	3	4
68	и его	7	4
69	и на	6	4
70	не может	12	4
71	тем что	2	4
72	все эти	2	4
73	и с	5	4
74	должны были	2	3
75	для них	2	3
76	что у	3	3
77	целый ряд	3	3
78	и от	7	3
79	и все	4	3
80	прежде всего	21	3
81	не что	4	3
82	к тому	4	3
83	и к	4	3
84	как и	10	3
85	и как	9	3
86	но это	2	3
87	представляет собой	2	3
88	равно как	2	3
89	было бы	7	3
90	мы увидим	5	3
91	на его	5	3
92	в его	6	3
93	никогда не	7	3
94	в целом	4	3
95	уже видели	2	3
96	в связи	2	3
97	так же	4	3
98	его не	2	3
99	иное как	2	3
100	сказать что	3	3
101	потому что	5	3
102	что иное	2	3
103	о том	4	3
104	его в	4	3
105	здесь не	2	3
106	их в	3	3
107	как только	4	2
108	к нашей	2	2
109	не было	2	2
110	все время	5	2
111	с тем	8	2
112	независимо от	5	2
113	связанных с	3	2
114	друг другу	2	2
115	что было	3	2
116	и так	6	2
117	связь и	3	2
118	в одном	3	2
119	в жизни	2	2
120	если он	3	2
121	вовсе не	2	2
122	вопрос о	2	2
123	от которых	2	2
124	в тех	3	2
125	можно сказать	4	2
126	теперь к	2	2
127	как таковой	3	2
128	тому же	2	2
129	но все	4	2
130	как в	2	2
131	при этом	9	2
132	в качестве	4	2
133	ни один	2	2
134	себе в	2	2
135	совершенно не	3	2
136	себе и	2	2
137	не мог	3	2
138	да и	4	2
139	хотя и	3	2
140	в ней	8	2
141	и потому	2	2
142	относится к	2	2
143	и он	2	2
144	в котором	3	2
145	не с	3	2
146	и уже	3	2
147	должно было	3	2
148	и это	7	2
149	жизни и	3	2
150	нет ничего	2	2
151	так и	6	2
152	только на	3	2
153	той же	5	2
154	если не	3	2
155	еще более	2	2
156	на самом	3	2
157	этот вопрос	2	2
158	и вот	3	2
159	мы найдем	2	2
160	перейти к	2	2
161	и даже	3	2
162	и для	3	2
163	роль в	3	2
164	в которых	2	2
165	или несколько	2	2
166	и то	3	2
167	то мы	3	2
168	между тем	3	2
169	точки зрения	10	2
170	в то	9	2
171	на это	4	2
172	с собой	2	2
