N	3gram	Medvedev_F_2	Marksizm
1	с точки зрения	7	20
2	не может быть	10	13
3	в самом деле	5	9
4	и не может	3	9
5	в связи с	10	7
6	в отличие от	2	5
7	с другой стороны	3	5
8	как мы знаем	2	5
9	с самого начала	2	4
10	связи с этим	3	3
11	в большинстве случаев	3	3
12	все без исключения	2	3
13	может быть и	3	3
14	в то же	5	3
15	то же время	5	3
16	в конце концов	2	3
17	языка и его	5	3
18	в этом отношении	7	3
19	в высшей степени	4	3
20	в том что	2	3
21	но все же	2	3
22	для того чтобы	3	3
23	речевого общения в	2	2
24	не могут быть	4	2
25	на первый план	2	2
26	пр и пр	4	2
27	быть и речи	3	2
28	между этими двумя	2	2
29	и пр и	4	2
30	во всяком случае	5	2
31	и прежде всего	2	2
32	в этом смысле	2	2
