N	2gram	Vinokur_Vv_1	FransuaR
1	и в	27	65
2	и др	2	24
3	как бы	5	22
4	и не	13	22
5	вовсе не	6	18
6	в сущности	3	16
7	в том	31	16
8	в этом	34	15
9	но в	10	14
10	в нем	13	13
11	прежде всего	8	11
12	и на	3	11
13	и его	5	10
14	не только	21	10
15	но и	5	10
16	все эти	3	10
17	в его	10	9
18	во всех	2	9
19	все это	6	9
20	по своему	5	8
21	в своем	3	8
22	в дальнейшем	2	8
23	и даже	5	8
24	его в	6	7
25	в области	4	7
26	жизни и	2	7
27	точки зрения	7	7
28	только в	13	7
29	и литературы	2	6
30	никогда не	3	6
31	том что	26	6
32	все же	8	6
33	как мы	9	6
34	времени и	4	6
35	в значительной	2	6
36	еще не	4	6
37	при этом	3	6
38	может быть	24	6
39	в ней	3	6
40	в отношении	2	6
41	сказать что	5	6
42	одно из	5	6
43	так как	13	6
44	связана с	4	5
45	в одном	4	5
46	в частности	3	5
47	в них	4	5
48	потому что	14	5
49	отличие от	3	5
50	на протяжении	2	5
51	рядом с	2	5
52	в большей	7	5
53	в своей	4	5
54	еще и	3	5
55	как и	5	5
56	в той	7	5
57	с их	5	5
58	в своих	2	5
59	между тем	8	5
60	в общем	12	4
61	связи с	3	4
62	или меньшей	2	4
63	это в	2	4
64	не в	8	4
65	в этой	3	4
66	можно только	2	4
67	большей или	2	4
68	отношение к	3	4
69	в самом	12	4
70	из них	3	4
71	и до	2	4
72	сих пор	5	4
73	до сих	5	4
74	мысли и	2	4
75	в их	11	4
76	в отличие	3	4
77	между ними	2	4
78	культуры в	5	4
79	входит в	2	4
80	не могут	5	3
81	что в	11	3
82	она была	2	3
83	на котором	2	3
84	это не	8	3
85	преимущественно в	2	3
86	не просто	4	3
87	в тех	2	3
88	что он	4	3
89	в ее	11	3
90	но все	3	3
91	самом деле	6	3
92	известной мере	2	3
93	к нему	2	3
94	с точки	2	3
95	то что	17	3
96	на этой	3	3
97	до нас	3	3
98	как раз	4	3
99	не может	13	3
100	в известной	3	3
101	этом отношении	3	3
102	и других	3	3
103	в форме	2	3
104	уже не	5	3
105	применении к	6	3
106	жизни как	2	3
107	с другой	8	3
108	по его	2	3
109	в применении	6	3
110	второй половины	3	3
111	в более	2	3
112	даже и	3	3
113	он и	2	3
114	в себе	4	3
115	и вообще	3	3
116	но как	2	3
117	ничего не	2	3
118	и с	2	3
119	в виду	4	3
120	средних веков	2	3
121	ни к	2	2
122	но не	7	2
123	к тому	4	2
124	и без	2	2
125	в германии	3	2
126	из этих	5	2
127	всего того	2	2
128	значение и	2	2
129	с конца	2	2
130	ни с	2	2
131	его к	2	2
132	можно сказать	3	2
133	так например	6	2
134	да и	4	2
135	литературы в	3	2
136	до конца	3	2
137	одной стороны	4	2
138	несмотря на	2	2
139	например в	2	2
140	половины xix	3	2
141	наряду с	2	2
142	свое время	2	2
143	от того	3	2
144	хотя и	3	2
145	в свое	2	2
146	не вполне	4	2
147	и для	4	2
148	в целом	5	2
149	не к	2	2
150	во второй	3	2
151	и именно	12	2
152	время в	2	2
153	только на	3	2
154	второй половине	2	2
155	которого мы	2	2
156	истории и	4	2
157	с одной	4	2
158	понятно что	3	2
159	и вот	3	2
160	того что	12	2
161	что не	5	2
162	что мы	2	2
163	на этот	4	2
164	есть только	2	2
165	одним из	5	2
166	в разной	2	2
167	этот вопрос	4	2
168	которое в	2	2
169	в этих	3	2
170	но с	4	2
171	могут быть	4	2
172	к какому	2	2
173	во всем	2	2
174	возрождения и	2	2
175	о том	15	2
176	и это	6	2
177	дело в	3	2
178	в особенности	4	2
179	в чем	4	2
180	в чисто	4	2
