N	3gram	Losev_Prob_2	StatiiOP
1	и т д	6	21
2	в том что	4	17
3	о том что	14	11
4	для того чтобы	2	10
5	можно было бы	2	8
6	до сих пор	4	7
7	в данном случае	5	6
8	на самом деле	2	6
9	с другой стороны	5	6
10	во всяком случае	10	6
11	в самом деле	2	5
12	не может быть	3	5
13	в этой области	3	5
14	в то же	4	4
15	не только в	2	4
16	на эту тему	2	4
17	того или иного	5	4
18	на то что	4	4
19	том что в	2	3
20	и в этом	3	3
21	ничего общего с	2	3
22	только в том	4	3
23	то или иное	2	3
24	заключается в том	2	3
25	том числе и	2	2
26	в том числе	2	2
27	не имеет ничего	2	2
28	по этому поводу	2	2
29	с одной стороны	5	2
30	тем не менее	12	2
31	в этом случае	7	2
32	хотя бы и	3	2
33	по крайней мере	6	2
34	может быть и	2	2
35	и в данном	2	2
36	и то что	7	2
37	имеет ничего общего	2	2
38	но и в	3	2
39	вопрос о том	2	2
40	так или иначе	6	2
