N	2gram	Berdyaev_O_1	Istorich
1	и в	19	26
2	т е	4	18
3	то что	5	16
4	не только	11	15
5	что в	4	14
6	может быть	11	14
7	но и	13	12
8	что он	3	10
9	так и	2	10
10	и его	4	10
11	что и	2	9
12	все же	2	9
13	и не	13	9
14	его в	2	9
15	так как	2	9
16	а в	5	8
17	в этих	3	7
18	как и	6	7
19	он не	7	7
20	в этом	12	7
21	что они	2	6
22	еще не	3	6
23	когда он	3	6
24	не может	4	6
25	а не	11	6
26	к нему	3	6
27	и то	2	6
28	потому что	9	6
29	могут быть	3	6
30	у него	22	5
31	это не	3	5
32	к этому	2	5
33	ничего не	2	5
34	в его	7	5
35	не в	11	5
36	и с	2	5
37	тем что	2	5
38	в другом	2	5
39	но в	2	5
40	в человеческом	2	4
41	вопрос о	10	4
42	все что	3	4
43	в своей	2	4
44	в этот	2	4
45	он в	2	4
46	но он	7	4
47	о том	3	4
48	что у	2	3
49	все еще	2	3
50	в том	5	3
51	том что	2	3
52	как бы	3	3
53	все эти	4	3
54	и он	8	3
55	на земле	4	3
56	о природе	3	3
57	не имеет	2	3
58	он всегда	7	3
59	в русской	3	3
60	должен был	2	3
61	к этой	2	3
62	уже в	2	2
63	не могут	3	2
64	с тем	2	2
65	и есть	3	2
66	никогда не	9	2
67	в своем	2	2
68	и все	10	2
69	их не	2	2
70	по себе	2	2
71	же это	2	2
72	в самую	4	2
73	так что	2	2
74	в истории	2	2
75	от него	7	2
76	и там	2	2
77	было бы	3	2
78	хотя и	2	2
79	хотя бы	3	2
80	в нем	10	2
81	не есть	2	2
82	отношение к	5	2
83	все это	6	2
84	что есть	2	2
85	в других	2	2
86	и вот	3	2
87	лишь в	7	2
88	того что	3	2
89	и на	2	2
90	сказать что	2	2
91	даже и	2	2
92	в себе	3	2
93	в этой	5	2
94	и этим	2	2
