N	2gram	Vygotskiy__1	EvropaiE
1	и в	23	37
2	в отношении	10	32
3	точки зрения	26	23
4	что в	14	21
5	не только	16	18
6	с точки	18	17
7	в то	7	16
8	хотя бы	4	15
9	то же	8	15
10	в своем	3	14
11	в качестве	9	14
12	же время	2	14
13	но и	14	14
14	и не	9	14
15	но в	5	14
16	в этом	17	12
17	в их	3	11
18	в том	24	11
19	в области	3	11
20	так и	5	10
21	прежде всего	10	9
22	в смысле	2	9
23	все более	3	9
24	не может	12	9
25	в себе	6	9
26	только в	6	9
27	так же	16	9
28	к тому	4	8
29	в ее	2	8
30	одной стороны	9	8
31	было бы	4	8
32	в своей	4	8
33	с одной	8	8
34	между тем	9	8
35	как и	14	7
36	того что	15	7
37	с другой	10	7
38	так как	7	7
39	с этой	6	6
40	вовсе не	3	6
41	том что	21	6
42	может быть	14	6
43	вслед за	2	6
44	для того	15	6
45	на то	5	6
46	как бы	11	6
47	то что	17	6
48	во всех	3	6
49	того чтобы	17	6
50	и даже	2	6
51	и на	8	6
52	же как	6	5
53	в частности	2	5
54	столь же	6	5
55	не в	4	5
56	но не	4	5
57	которую мы	4	5
58	как мы	5	5
59	в течение	2	5
60	тем самым	5	5
61	от этого	2	5
62	в виде	2	5
63	и потому	2	5
64	независимо от	6	4
65	именно в	6	4
66	вопрос о	7	4
67	можно сказать	5	4
68	на всем	2	4
69	несмотря на	2	4
70	в самом	7	4
71	даже в	2	4
72	в процессе	8	4
73	по себе	5	4
74	мы не	7	4
75	не имеет	2	4
76	сказать что	11	4
77	тем более	5	4
78	в каком	3	4
79	как это	2	4
80	и к	4	3
81	в сфере	3	3
82	этом отношении	4	3
83	с тем	7	3
84	никогда не	2	3
85	в них	2	3
86	в стороне	2	3
87	и от	3	3
88	с другом	4	3
89	от них	2	3
90	в общем	3	3
91	в известной	2	3
92	мы видели	2	3
93	из всех	2	3
94	представляет собой	11	3
95	мы можем	6	3
96	в свою	4	3
97	в известном	2	3
98	связано с	2	3
99	ту или	2	3
100	друг с	4	3
101	и мы	3	3
102	известном смысле	2	3
103	всяком случае	3	3
104	не является	9	3
105	и тем	6	3
106	когда он	2	3
107	ее в	2	3
108	бы и	2	3
109	как в	4	3
110	идет о	2	3
111	как на	4	3
112	можно было	3	3
113	в которых	3	3
114	в результате	4	3
115	потому что	6	3
116	во всяком	3	3
117	в психологии	10	3
118	тем что	6	3
119	в данном	2	3
120	о том	6	3
121	дело в	2	3
122	там где	2	3
123	что все	4	2
124	и наиболее	2	2
125	и более	5	2
126	а не	3	2
127	в этих	2	2
128	сравнению с	5	2
129	в какой	5	2
130	по сравнению	6	2
131	с этим	6	2
132	и все	5	2
133	в одном	4	2
134	представление о	2	2
135	главным образом	2	2
136	одном из	2	2
137	из того	5	2
138	есть не	2	2
139	всех прочих	2	2
140	и как	5	2
141	в силу	6	2
142	отношений между	4	2
143	такой же	3	2
144	что если	2	2
145	свою очередь	3	2
146	между ними	2	2
147	приводит нас	2	2
148	оставить в	2	2
149	что это	3	2
150	и если	3	2
151	она не	3	2
152	не к	2	2
153	от друга	3	2
154	все другие	2	2
155	нас к	8	2
156	более к	2	2
157	он не	5	2
158	в его	14	2
159	в котором	4	2
160	в развитии	12	2
161	друг от	3	2
162	жизни и	2	2
163	вместе с	9	2
164	данном случае	2	2
165	всего в	2	2
166	на основании	5	2
167	иначе говоря	2	2
168	во всей	4	2
169	целый ряд	4	2
170	и таким	2	2
171	а в	2	2
172	таким образом	26	2
173	если бы	5	2
174	начиная с	2	2
175	и других	3	2
176	заключается в	8	2
177	и что	5	2
178	в значительной	2	2
179	и наконец	2	2
180	на этот	3	2
181	другой стороны	9	2
182	с другими	2	2
183	мы видим	4	2
184	в своих	5	2
185	этот вопрос	3	2
186	что эти	2	2
187	и с	9	2
188	хотя и	2	2
189	могут быть	3	2
190	с мы	3	2
191	в этой	7	2
192	и то	3	2
193	по своей	5	2
194	мы должны	5	2
195	его на	2	2
196	между собой	5	2
197	и поэтому	2	2
198	бы в	5	2
199	заметить что	2	2
200	тогда когда	3	2
201	проблемы и	4	2
