N	2gram	Vygotskiy__2	Myslijsy
1	то есть	21	34
2	потому что	21	33
3	то что	21	29
4	может быть	18	26
5	таким образом	21	24
6	в том	37	23
7	и в	32	23
8	в этом	13	23
9	и не	10	18
10	что в	20	17
11	в языке	4	16
12	при этом	13	15
13	только в	7	15
14	для нас	2	14
15	как и	10	14
16	в себе	2	14
17	то же	13	14
18	того что	8	14
19	так как	12	14
20	если бы	6	13
21	том что	21	12
22	не было	2	12
23	а не	7	12
24	по себе	12	11
25	но и	10	11
26	не в	8	11
27	не может	17	11
28	не только	12	10
29	тем что	9	10
30	мы можем	3	10
31	между тем	4	9
32	было бы	11	8
33	тогда когда	3	8
34	то это	3	8
35	заключает в	2	8
36	мы не	3	8
37	сказать что	7	8
38	о том	6	8
39	но в	3	8
40	когда я	2	7
41	с тем	11	7
42	что это	8	7
43	это не	2	7
44	на то	11	7
45	в нем	4	7
46	что и	17	7
47	и что	22	7
48	очевидно что	2	7
49	вовсе не	2	7
50	и т	10	7
51	могут быть	4	7
52	как в	9	7
53	с этим	4	7
54	поэзии и	7	7
55	что если	6	6
56	и к	3	6
57	для того	13	6
58	вместе с	2	6
59	того как	4	6
60	тем и	2	6
61	что не	3	6
62	когда мы	2	6
63	заметить что	2	6
64	в которой	2	6
65	так и	3	6
66	так что	3	5
67	есть только	5	5
68	само по	3	5
69	и мы	6	5
70	в его	2	5
71	как бы	6	5
72	к нему	2	5
73	поэтического произведения	3	5
74	бы и	3	5
75	что же	3	5
76	есть нечто	2	5
77	все это	5	5
78	не менее	8	5
79	а в	4	5
80	во всяком	2	5
81	тем более	2	5
82	образом в	3	5
83	и то	3	5
84	такие же	2	5
85	не имеет	4	5
86	на вопрос	2	4
87	думать что	3	4
88	и более	4	4
89	и все	4	4
90	что все	9	4
91	что он	13	4
92	есть не	4	4
93	тем не	4	4
94	до сих	5	4
95	только как	3	4
96	в одном	2	4
97	от того	4	4
98	сам по	4	4
99	и тем	4	4
100	сих пор	5	4
101	всех остальных	2	4
102	только на	5	4
103	только потому	2	4
104	того чтобы	14	4
105	хотя бы	3	4
106	так же	18	4
107	с другими	2	4
108	в таком	2	4
109	точки зрения	17	4
110	в каком	3	4
111	в данном	4	4
112	т п	8	4
113	в сознании	4	4
114	в то	5	4
115	же самое	6	4
116	могли бы	2	4
117	если же	4	4
118	мы имеем	4	4
119	и с	4	4
120	слова в	2	3
121	том случае	4	3
122	при помощи	10	3
123	все более	2	3
124	к которым	3	3
125	никогда не	9	3
126	в этих	2	3
127	в них	2	3
128	в смысле	3	3
129	формы в	3	3
130	мысль что	2	3
131	но это	2	3
132	к одному	4	3
133	же время	2	3
134	еще не	2	3
135	в действительности	4	3
136	и из	6	3
137	к тому	7	3
138	например в	3	3
139	на его	2	3
140	в самом	12	3
141	и следовательно	2	3
142	мы в	3	3
143	в виду	3	3
144	всяком случае	2	3
145	в каждом	2	3
146	и их	3	3
147	в процессе	2	3
148	душевной жизни	2	3
149	так в	2	3
150	в нас	3	3
151	и таким	2	3
152	и только	2	3
153	бы не	2	3
154	т д	2	3
155	той же	8	3
156	все эти	7	3
157	и других	3	3
158	что у	5	3
159	те же	6	3
160	на самом	5	3
161	самом деле	16	3
162	должны быть	3	3
163	и по	4	3
164	и на	5	3
165	этот вопрос	3	3
166	и до	4	3
167	в которых	3	3
168	их в	2	3
169	и так	3	3
170	в искусстве	21	3
171	ту же	4	3
172	в поэзии	3	3
173	с точки	10	3
174	там где	2	3
175	и тот	2	3
176	не существует	2	2
177	и многие	2	2
178	тому как	3	2
179	не могут	3	2
180	с и	12	2
181	состоит в	3	2
182	том же	2	2
183	из себя	2	2
184	и как	7	2
185	но даже	2	2
186	и без	2	2
187	тому что	4	2
188	или что	3	2
189	все что	2	2
190	сами по	3	2
191	в состоянии	2	2
192	столь же	4	2
193	но так	2	2
194	с другой	3	2
195	оно не	2	2
196	не как	3	2
197	же что	2	2
198	точно так	3	2
199	место из	2	2
200	представить себе	3	2
201	значение и	2	2
202	отношение к	2	2
203	что на	4	2
204	том и	2	2
205	и здесь	2	2
206	в ее	2	2
207	в самой	2	2
208	такое же	2	2
209	из этого	4	2
210	об этом	3	2
211	более и	2	2
212	по своему	3	2
213	что чем	2	2
214	и говорить	2	2
215	но что	2	2
216	в свою	3	2
217	после того	2	2
218	что по	2	2
219	она не	2	2
220	тот же	6	2
221	в сознание	2	2
222	в сущности	7	2
223	во сне	2	2
224	которые мы	4	2
225	к ним	2	2
226	в ней	5	2
227	он не	6	2
228	и когда	4	2
229	не значит	2	2
230	не вполне	2	2
231	один из	3	2
232	пока мы	2	2
233	и это	4	2
234	если оно	3	2
235	на том	2	2
236	данном случае	4	2
237	указывает на	3	2
238	что она	16	2
239	художественное произведение	6	2
240	как она	4	2
241	мы видим	4	2
242	и для	4	2
243	если мы	12	2
244	каким образом	3	2
245	еще более	3	2
246	же мы	3	2
247	что его	5	2
248	но эта	2	2
249	здесь мы	2	2
250	и другое	2	2
251	именно на	2	2
252	зависят от	2	2
253	из которых	2	2
254	и у	2	2
255	указывая на	2	2
256	на этот	2	2
257	и даже	5	2
258	не так	2	2
259	сводятся к	2	2
260	для самого	2	2
261	и его	7	2
262	в других	2	2
263	можно было	7	2
264	в своих	9	2
265	подобно тому	2	2
266	на который	2	2
267	в первый	2	2
268	и при	2	2
269	он все	3	2
270	это можно	2	2
271	и вообще	2	2
272	мы должны	3	2
273	же с	2	2
274	которые не	3	2
275	на деле	8	2
276	это было	3	2
