N	2gram	Propp_Isto_2	DiskursI
1	в качестве	3	34
2	не только	18	28
3	в том	6	23
4	а не	5	22
5	том что	7	19
6	может быть	17	17
7	представляет собой	5	17
8	и в	15	16
9	как и	2	16
10	в этом	11	15
11	еще не	9	14
12	но и	14	14
13	при этом	4	13
14	прежде всего	5	11
15	но не	2	11
16	и не	11	11
17	с другой	2	10
18	как в	5	10
19	состоит в	2	9
20	в нем	7	9
21	отношению к	3	9
22	одной стороны	3	9
23	по отношению	3	9
24	не может	5	9
25	с одной	4	9
26	а также	2	8
27	так и	5	8
28	о том	3	8
29	но в	6	8
30	в его	6	7
31	то же	10	7
32	не было	2	7
33	роль в	3	7
34	в себе	4	7
35	только в	6	7
36	не в	7	7
37	к тому	5	5
38	тому же	2	5
39	в силу	2	5
40	как бы	6	5
41	в котором	5	5
42	то что	12	5
43	во всех	2	5
44	а с	2	5
45	а в	12	5
46	в себя	3	5
47	в их	3	5
48	и на	4	5
49	что в	12	4
50	что он	24	4
51	одной из	4	4
52	связи с	8	4
53	на его	2	4
54	в особенности	2	4
55	в которых	2	4
56	потому что	9	4
57	могут быть	2	4
58	перед нами	2	3
59	в сказке	21	3
60	это не	2	3
61	в одной	4	3
62	что и	6	3
63	с этим	5	3
64	или на	4	3
65	один из	8	3
66	хотя бы	2	3
67	все же	9	3
68	из них	2	3
69	таким образом	7	3
70	именно в	2	3
71	того что	3	3
72	другой стороны	2	3
73	сказать что	2	3
74	тем что	4	3
75	тому как	3	3
76	слова в	2	2
77	но они	4	2
78	зависит от	2	2
79	по мере	3	2
80	и есть	5	2
81	никогда не	15	2
82	к себе	2	2
83	представления о	5	2
84	в одном	5	2
85	в тех	2	2
86	об этом	11	2
87	в сущности	2	2
88	о нем	4	2
89	и др	4	2
90	будто бы	2	2
91	например в	2	2
92	с ее	2	2
93	когда он	3	2
94	можно усмотреть	2	2
95	дело не	4	2
96	приводит к	2	2
97	в сказках	8	2
98	хотя в	3	2
99	уже в	2	2
100	человека в	2	2
101	и что	6	2
102	и герой	2	2
103	и по	2	2
104	и его	3	2
105	или в	2	2
106	здесь в	2	2
107	мы имеем	15	2
108	подобно тому	3	2
109	и ее	2	2
110	к которому	5	2
111	в другом	9	2
112	могла бы	2	2
113	в этой	4	2
114	так сказать	2	2
115	они не	4	2
116	заметить что	2	2
117	в виду	2	2
