N	2gram	Bakhtin_Fr_1	UchenyiS
1	и в	65	14
2	не только	10	10
3	и не	22	8
4	прежде всего	11	8
5	то что	3	7
6	в этом	15	7
7	не может	3	7
8	в искусстве	3	6
9	может быть	6	6
10	перестает быть	3	5
11	все это	9	5
12	но и	10	4
13	в этой	4	4
14	в их	4	4
15	с другой	3	4
16	но в	14	3
17	как и	5	3
18	все же	6	3
19	в своей	5	3
20	в частности	5	3
21	для него	5	3
22	это не	3	3
23	в области	7	3
24	том что	6	2
25	но не	2	2
26	в том	16	2
27	с его	5	2
28	не в	4	2
29	всех этих	8	2
30	и для	2	2
31	но это	3	2
32	мы и	3	2
33	литературы и	5	2
34	это уже	4	2
35	только в	7	2
36	и с	3	2
37	сих пор	4	2
38	при таком	2	2
39	могут быть	2	2
40	даже и	3	2
41	что он	3	2
42	и у	6	2
43	в себе	3	2
44	в системе	3	2
45	как раз	3	2
46	до сих	4	2
47	формы и	7	2
48	что мы	2	2
49	этом отношении	3	2
50	в самом	4	2
51	не могут	3	2
52	меньшей степени	5	2
53	в некоторых	2	2
54	превращается в	5	2
55	а его	2	2
56	одним из	2	2
57	ничего не	3	2
58	самом деле	3	2
59	в его	9	2
60	между тем	5	2
61	это было	2	2
