N	2gram	Vinokur_Ku_3	VeschiIm
1	не есть	3	49
2	т е	32	42
3	не может	6	33
4	не только	17	31
5	может быть	14	29
6	и не	10	28
7	и в	23	26
8	то что	4	24
9	и есть	5	23
10	и т	54	21
11	т д	8	20
12	а не	11	20
13	не просто	2	18
14	что она	5	14
15	только в	6	14
16	и что	7	13
17	того что	11	13
18	по себе	6	13
19	что это	3	12
20	было бы	16	12
21	но и	3	12
22	сказать что	7	12
23	есть не	3	12
24	все же	5	12
25	что же	5	11
26	таким образом	9	11
27	то же	6	10
28	уже не	8	10
29	в ней	3	10
30	как бы	5	10
31	потому что	12	10
32	что мы	2	10
33	не значит	5	10
34	что такое	4	10
35	в том	22	9
36	в самом	13	9
37	и с	3	9
38	прежде всего	9	9
39	что не	4	9
40	еще и	2	9
41	она есть	2	8
42	но это	5	8
43	смысл и	2	8
44	ничего не	6	8
45	совершенно не	5	7
46	в свете	2	7
47	также и	5	7
48	говорить о	6	7
49	в то	3	7
50	его в	2	7
51	так как	9	7
52	е в	2	7
53	том что	11	7
54	как раз	4	7
55	и пр	3	7
56	с другими	2	7
57	в этом	16	7
58	и как	2	6
59	что они	2	6
60	что в	13	6
61	но если	3	6
62	отличается от	2	6
63	и только	3	6
64	должно быть	7	6
65	в результате	3	6
66	точки зрения	23	6
67	когда мы	3	6
68	то не	2	6
69	но в	2	6
70	ясно что	4	6
71	она не	3	6
72	относится к	2	6
73	бы и	3	6
74	если мы	7	6
75	можно было	11	6
76	не менее	12	5
77	должна быть	3	5
78	в отношении	3	5
79	это не	3	5
80	с этой	3	5
81	тем не	9	5
82	не в	5	5
83	еще не	9	5
84	для этого	6	5
85	а в	5	5
86	как к	2	5
87	чем же	2	5
88	ни на	2	5
89	с тем	6	5
90	если бы	8	5
91	отнюдь не	3	5
92	в ее	4	5
93	у нас	10	5
94	это и	3	5
95	но не	3	5
96	того же	4	5
97	же это	2	5
98	в сущности	4	5
99	на себя	2	5
100	в чем	5	5
101	я не	5	4
102	собственном смысле	2	4
103	в своем	4	4
104	с другой	7	4
105	как же	3	4
106	независимо от	5	4
107	имеет смысл	3	4
108	точка зрения	4	4
109	только то	3	4
110	в их	6	4
111	то и	2	4
112	что есть	2	4
113	мы говорим	4	4
114	быть не	2	4
115	от того	5	4
116	о том	6	4
117	говорить что	3	4
118	и более	3	4
119	самый смысл	3	4
120	то это	3	4
121	как и	5	4
122	и о	4	4
123	что и	6	4
124	есть вещь	2	4
125	как я	2	4
126	этот вопрос	3	4
127	с точки	16	4
128	то или	2	4
129	что значит	4	4
130	мы не	3	4
131	в данном	7	4
132	тем что	5	4
133	так то	2	4
134	сама по	2	3
135	вопрос о	11	3
136	что именно	3	3
137	можно сказать	2	3
138	к тому	3	3
139	более или	2	3
140	на этом	2	3
141	как о	3	3
142	сам по	3	3
143	отношение к	3	3
144	конечно можно	2	3
145	все это	2	3
146	значит не	3	3
147	мы находим	3	3
148	но как	3	3
149	не понимает	3	3
150	мы имеем	2	3
151	тогда когда	4	3
152	к другому	2	3
153	в одном	2	3
154	один из	4	3
155	что он	6	3
156	она может	2	3
157	тот же	6	3
158	между прочим	8	3
159	в своей	4	3
160	вместе с	2	3
161	так и	6	3
162	или менее	2	3
163	а с	3	3
164	из того	2	3
165	в той	4	3
166	самом деле	14	3
167	того чтобы	11	3
168	хотя бы	9	3
169	тому как	2	3
170	тем более	5	3
171	не то	2	3
172	я в	3	3
173	вопроса о	3	3
174	если это	2	3
175	на вопрос	3	2
176	же мы	4	2
177	это уже	3	2
178	в частности	2	2
179	тому что	4	2
180	а потому	2	2
181	что на	3	2
182	ни в	3	2
183	но все	2	2
184	есть конечно	2	2
185	кроме того	2	2
186	мог бы	2	2
187	и если	2	2
188	в виду	8	2
189	и тем	6	2
190	данном случае	4	2
191	и вот	3	2
192	в слове	4	2
193	заключается в	4	2
194	первом случае	2	2
195	при чем	5	2
196	так же	2	2
197	в первом	5	2
198	как это	7	2
199	на него	3	2
200	быть совершенно	2	2
201	и чтобы	2	2
202	о чем	2	2
203	меняется и	2	2
204	именно так	2	2
205	и значит	2	2
206	не с	2	2
207	является и	2	2
208	то в	3	2
209	в силу	6	2
210	в качестве	2	2
211	это так	2	2
212	я имею	2	2
213	никак не	2	2
214	он не	3	2
215	когда он	2	2
216	как в	4	2
217	мысли и	2	2
218	еще более	2	2
219	как мы	5	2
220	можно говорить	10	2
221	для того	12	2
222	тем же	2	2
223	той же	3	2
224	смысловом отношении	3	2
225	не случайно	4	2
226	во всяком	2	2
227	если же	2	2
228	в особенности	2	2
229	не потому	3	2
230	не все	2	2
