N	2gram	Losev_Vlad_3	VeschiIm
1	не есть	10	49
2	не может	14	33
3	не только	25	31
4	может быть	8	29
5	и не	25	28
6	и в	40	26
7	то что	28	24
8	это значит	6	22
9	значит что	6	22
10	а не	8	20
11	не просто	10	18
12	есть только	9	17
13	в смысле	6	15
14	что она	2	14
15	только в	13	14
16	и что	8	13
17	того что	7	13
18	по себе	6	13
19	что это	9	12
20	было бы	4	12
21	но и	18	12
22	сказать что	12	12
23	есть не	2	12
24	все же	4	12
25	и то	9	12
26	вещь и	3	11
27	что же	9	11
28	таким образом	11	11
29	а и	2	11
30	то же	4	10
31	уже не	9	10
32	в ней	5	10
33	как бы	3	10
34	потому что	11	10
35	что мы	2	10
36	вещи не	2	9
37	в том	18	9
38	в самом	4	9
39	бы то	3	9
40	и с	9	9
41	прежде всего	10	9
42	то ни	3	9
43	еще и	18	9
44	на то	4	8
45	но это	6	8
46	в себе	9	8
47	и это	6	8
48	ничего не	5	8
49	совершенно не	2	7
50	также и	17	7
51	в то	7	7
52	его в	2	7
53	так как	7	7
54	том что	18	7
55	есть и	4	7
56	не будет	6	7
57	если оно	4	7
58	как раз	10	7
59	в этом	16	7
60	как с	2	7
61	оно есть	6	6
62	так что	14	6
63	и как	7	6
64	это есть	10	6
65	что является	2	6
66	но что	2	6
67	что в	17	6
68	для него	8	6
69	но если	5	6
70	ни с	3	6
71	со стороны	2	6
72	отличается от	3	6
73	и только	3	6
74	должно быть	5	6
75	в результате	4	6
76	точки зрения	13	6
77	то не	2	6
78	но в	4	6
79	одно и	2	6
80	она не	2	6
81	бытие и	3	6
82	бы и	4	6
83	если мы	4	6
84	можно было	5	6
85	а если	2	6
86	не менее	9	5
87	содержит в	5	5
88	должна быть	2	5
89	в отношении	5	5
90	это не	3	5
91	с этой	2	5
92	тем не	10	5
93	не в	3	5
94	еще не	4	5
95	только и	5	5
96	а есть	2	5
97	и тут	3	5
98	а в	7	5
99	и бытия	2	5
100	есть просто	2	5
101	или не	3	5
102	ни на	2	5
103	с тем	7	5
104	если бы	3	5
105	отнюдь не	5	5
106	у нас	5	5
107	но не	4	5
108	того же	2	5
109	же это	2	5
110	в сущности	2	5
111	для себя	5	5
112	и для	3	5
113	на себя	2	5
114	в чем	3	5
115	я не	3	4
116	можно ли	2	4
117	в своем	8	4
118	с другой	5	4
119	независимо от	3	4
120	же время	2	4
121	только то	2	4
122	из них	2	4
123	в их	2	4
124	то и	2	4
125	что есть	3	4
126	точке зрения	2	4
127	от того	4	4
128	учение об	4	4
129	и даже	6	4
130	знания и	2	4
131	с этим	2	4
132	о том	11	4
133	не существует	2	4
134	и более	2	4
135	но тогда	2	4
136	и все	4	4
137	бытия и	2	4
138	то это	10	4
139	как и	7	4
140	и о	4	4
141	и потому	10	4
142	на почве	2	4
143	оно не	3	4
144	что и	7	4
145	если есть	3	4
146	быть и	2	4
147	даже не	3	4
148	собственно говоря	3	4
149	с точки	6	4
150	мы не	2	4
151	в данном	5	4
152	тем что	5	4
153	ни только	2	4
154	же не	2	4
155	она должна	2	3
156	никогда не	11	3
157	но даже	4	3
158	вопрос о	4	3
159	не содержит	2	3
160	к тому	7	3
161	несмотря на	7	3
162	и чисто	3	3
163	более или	5	3
164	знание и	2	3
165	в нем	3	3
166	сам по	2	3
167	отношения к	5	3
168	никакого отношения	5	3
169	можно только	2	3
170	мы находим	2	3
171	всегда есть	3	3
172	в философии	3	3
173	раз навсегда	3	3
174	но как	2	3
175	не понимает	2	3
176	и ни	2	3
177	мы имеем	3	3
178	это учение	5	3
179	или как	4	3
180	нисколько не	3	3
181	само по	3	3
182	даже и	12	3
183	но когда	2	3
184	в одном	5	3
185	в жизни	2	3
186	что он	5	3
187	и притом	3	3
188	между прочим	5	3
189	как можно	2	3
190	в своей	9	3
191	вместе с	7	3
192	так и	6	3
193	или менее	5	3
194	да и	6	3
195	только на	5	3
196	а с	4	3
197	бы в	2	3
198	того чтобы	3	3
199	хотя бы	6	3
200	и вообще	3	3
201	мы будем	2	2
202	будет то	2	2
203	тому что	4	2
204	человека и	3	2
205	истине и	3	2
206	что на	2	2
207	а только	7	2
208	и можно	4	2
209	ни в	10	2
210	но все	3	2
211	не говорит	5	2
212	кроме того	6	2
213	мог бы	4	2
214	и если	7	2
215	мы уже	5	2
216	в виду	3	2
217	так или	2	2
218	и тем	3	2
219	данном случае	2	2
220	но только	2	2
221	в разных	2	2
222	не мог	6	2
223	бы на	2	2
224	так же	8	2
225	жизнь и	3	2
226	в своих	7	2
227	самого себя	2	2
228	как это	4	2
229	то есть	24	2
230	на него	2	2
231	ни к	2	2
232	является в	2	2
233	от этого	2	2
234	не с	4	2
235	остановиться на	2	2
236	о которых	2	2
237	это тоже	2	2
238	то в	6	2
239	в силу	2	2
240	в качестве	3	2
241	не нужно	2	2
242	себе и	2	2
243	наряду с	2	2
244	но еще	2	2
245	то необходимо	2	2
246	но оно	2	2
247	никак не	4	2
248	об этом	6	2
249	он не	8	2
250	и этот	2	2
251	только к	2	2
252	но уже	2	2
253	находится в	3	2
254	но можно	2	2
255	как нечто	3	2
256	если не	6	2
257	есть она	2	2
258	в с	2	2
259	как мы	8	2
260	в в	2	2
261	самого же	3	2
262	для того	2	2
263	при всем	2	2
264	и его	10	2
265	или иначе	2	2
266	тут же	5	2
267	во всяком	3	2
268	об отношении	2	2
269	дело в	5	2
270	не все	3	2
271	это было	3	2
