N	2gram	Propp_Isto_5	Psycholo
1	и в	25	38
2	то что	7	35
3	в том	6	25
4	самом деле	2	21
5	что в	8	20
6	может быть	17	19
7	и что	8	18
8	на то	2	16
9	точки зрения	2	16
10	в ней	5	15
11	если бы	2	14
12	том что	8	14
13	как бы	2	14
14	и т	20	14
15	потому что	7	14
16	в этой	3	13
17	и мы	2	13
18	совершенно ясно	4	13
19	в этом	10	13
20	мы видим	8	12
21	не только	13	12
22	мы увидим	5	12
23	таким образом	9	12
24	не в	6	12
25	что он	22	11
26	что это	5	10
27	то же	4	10
28	и не	11	10
29	и все	3	10
30	о которых	2	9
31	того чтобы	3	9
32	все же	10	8
33	с тем	8	8
34	перед нами	2	8
35	с этим	5	8
36	вовсе не	2	8
37	для нас	5	8
38	как и	7	8
39	так что	2	8
40	и как	3	8
41	видим что	5	8
42	для того	3	8
43	и это	4	8
44	с другой	9	7
45	в ее	4	7
46	а не	2	7
47	мы можем	2	7
48	не может	6	7
49	что у	4	7
50	как мы	5	7
51	а в	3	7
52	мы уже	4	7
53	из них	2	6
54	и здесь	7	6
55	мы видели	7	6
56	до сих	2	6
57	она не	2	6
58	один из	2	6
59	он не	4	6
60	с одной	7	6
61	так как	11	6
62	и его	9	6
63	и на	8	6
64	в которых	3	6
65	о том	7	6
66	ясно что	5	6
67	там где	6	6
68	на этом	3	5
69	одной стороны	7	5
70	несмотря на	2	5
71	совершенно не	2	5
72	в своей	2	5
73	время в	2	5
74	вместе с	22	5
75	но и	13	5
76	сих пор	2	5
77	другой стороны	8	5
78	к которым	2	5
79	или в	6	5
80	мы не	5	5
81	в его	12	5
82	в которой	4	5
83	никогда не	3	4
84	из него	2	4
85	в свою	3	4
86	когда он	2	4
87	и для	2	4
88	во всех	2	4
89	в нем	7	4
90	что и	6	4
91	ее в	2	4
92	в целом	3	4
93	как в	6	4
94	т д	18	4
95	образом мы	2	4
96	в течение	2	4
97	все эти	8	4
98	при помощи	7	4
99	здесь мы	5	4
100	того что	2	4
101	из которых	2	4
102	что этот	2	4
103	сказать что	2	4
104	у него	2	4
105	только в	7	4
106	одна из	2	4
107	что все	4	3
108	к этому	2	3
109	но это	7	3
110	без всяких	2	3
111	того же	2	3
112	наряду с	4	3
113	из двух	2	3
114	должен быть	2	3
115	все это	4	3
116	такое же	2	3
117	и тем	4	3
118	того как	4	3
119	тем что	10	3
120	в то	3	3
121	его в	9	3
122	в данном	3	2
123	и затем	2	2
124	он видит	4	2
125	видели что	2	2
126	в этих	6	2
127	из нее	2	2
128	так например	2	2
129	с этой	2	2
130	этот случай	3	2
131	и вместе	2	2
132	показывает что	5	2
133	увидим ниже	3	2
134	же в	2	2
135	в море	5	2
136	уже не	11	2
137	по существу	2	2
138	в нее	6	2
139	такой же	2	2
140	что здесь	3	2
141	очевидно что	2	2
142	животных и	2	2
143	том как	2	2
144	они не	3	2
145	например в	5	2
146	но он	2	2
147	указывают на	2	2
148	в которую	2	2
149	но мы	3	2
150	то это	3	2
151	он может	2	2
152	не знаем	3	2
153	вошел в	2	2
154	данном случае	2	2
155	со стороны	2	2
156	говорит о	2	2
157	что его	3	2
158	в наше	2	2
159	так же	5	2
160	в виде	9	2
161	что за	2	2
162	и по	2	2
163	в качестве	7	2
164	и начал	2	2
165	их в	3	2
166	это же	3	2
167	животных в	2	2
168	к его	2	2
169	представляет собой	7	2
170	в истории	4	2
171	чтобы он	2	2
172	его к	3	2
173	в русской	3	2
174	представляют собой	3	2
175	с ним	4	2
176	ничего не	2	2
177	и действительно	5	2
