N	3gram	Vinokur_St_3	Psycholo
1	на то что	3	16
2	в том что	11	14
3	с одной стороны	2	12
4	к тому что	2	6
5	о том что	4	6
6	заключается в том	2	6
7	до сих пор	2	5
8	с другой стороны	4	5
9	по этому поводу	2	4
10	а с другой	2	4
11	в этом отношении	4	3
12	с самого начала	2	3
13	и т д	2	3
14	с тем что	3	3
15	и т п	6	3
16	в конце концов	3	2
17	состоит в том	3	2
18	с точки зрения	4	2
19	не может быть	5	2
20	в этой трагедии	2	2
21	не только в	3	2
22	в том чтобы	2	2
23	что это есть	2	2
24	потому что он	2	2
