N	2gram	Propp_Isto_4	VrazhdaK
1	не только	15	9
2	в этом	7	8
3	и что	5	8
4	и в	26	8
5	но и	12	7
6	что в	14	7
7	то что	16	7
8	и все	2	7
9	в нем	2	6
10	все же	9	6
11	и даже	4	6
12	как и	7	6
13	но в	5	6
14	и с	5	6
15	то же	8	5
16	и не	9	5
17	у него	5	5
18	об этом	7	5
19	уже в	2	4
20	для нас	3	4
21	как бы	3	4
22	все это	2	4
23	это не	5	4
24	что он	10	4
25	так же	18	4
26	может быть	14	4
27	при этом	3	4
28	в истории	2	4
29	о том	4	4
30	в этот	4	3
31	связи с	3	3
32	в своем	2	3
33	что у	3	3
34	и во	2	3
35	что есть	2	3
36	в связи	2	3
37	т е	18	3
38	к этому	5	3
39	на то	3	3
40	и у	5	3
41	в том	3	3
42	и его	10	3
43	том что	3	3
44	и как	5	3
45	чтобы он	2	3
46	тем что	5	3
47	в его	5	3
48	в русской	3	3
49	его в	9	3
50	наряду с	3	3
51	но он	4	3
52	он не	7	3
53	его с	2	2
54	в своей	4	2
55	из них	2	2
56	не менее	2	2
57	никогда не	2	2
58	вместе с	6	2
59	его и	2	2
60	человека с	3	2
61	так в	4	2
62	не может	6	2
63	а в	8	2
64	тогда как	4	2
65	таким образом	10	2
66	в одну	2	2
67	но это	3	2
68	уже не	5	2
69	к себе	3	2
70	не мог	3	2
71	и он	3	2
72	мы знаем	8	2
73	же в	3	2
74	этот момент	2	2
75	в этой	2	2
76	что я	2	2
77	и то	6	2
78	же как	13	2
79	их в	7	2
80	в себе	2	2
81	отношение к	2	2
82	еще не	6	2
83	во время	7	2
84	о чем	3	2
85	на это	2	2
86	его на	4	2
87	при помощи	10	2
88	одна из	2	2
89	к ним	2	2
90	а также	3	2
91	в русских	2	2
