N	3gram	Tiupa_Narr_2	Narrotol
1	в том что	8	8
2	с одной стороны	5	7
3	о том что	4	6
4	по отношению к	5	6
5	в отличие от	5	5
6	не может быть	2	5
7	можно сказать что	3	4
8	той или иной	3	4
9	в данном случае	6	4
10	к тому же	4	4
11	все те же	2	4
12	то же время	3	3
13	состоит в том	4	3
14	в этом отношении	3	3
15	и тем самым	2	3
16	коммуникативного события рассказывания	5	3
17	в то же	3	3
18	тем не менее	4	3
19	от эпизода к	2	2
20	при всей своей	2	2
21	на том свете	2	2
22	и представляет собой	3	2
23	так же как	2	2
24	мы имеем дело	2	2
25	не сводится к	6	2
26	в конечном счете	3	2
27	тогда как в	2	2
28	не только в	6	2
29	с точки зрения	2	2
30	подобно тому как	2	2
31	в известном смысле	3	2
32	точно так же	2	2
33	того или иного	3	2
34	эпизода к эпизоду	2	2
