N	2gram	Vinokur_St_2	Vladivir
1	и в	29	40
2	то что	11	28
3	и не	9	25
4	не только	19	25
5	но и	19	18
6	в том	27	18
7	том что	27	18
8	еще и	3	18
9	что в	19	17
10	также и	2	17
11	в этом	21	16
12	так что	3	14
13	в его	13	14
14	не может	2	14
15	точки зрения	5	13
16	вовсе не	6	13
17	только в	2	13
18	сказать что	2	12
19	в конце	2	12
20	никогда не	3	11
21	таким образом	10	11
22	потому что	9	11
23	о том	17	11
24	прежде всего	5	10
25	тем не	2	10
26	ни в	3	10
27	и потому	2	10
28	как раз	8	10
29	в году	3	10
30	и его	6	10
31	не менее	3	9
32	что это	3	9
33	и с	4	9
34	в своей	7	9
35	в себе	2	9
36	не был	3	8
37	в своем	9	8
38	в этой	2	8
39	для него	4	8
40	может быть	2	8
41	так же	3	8
42	и что	6	8
43	он не	9	8
44	а также	2	8
45	а не	5	8
46	к тому	10	7
47	и как	2	7
48	несмотря на	2	7
49	хотя и	4	7
50	так как	2	7
51	с тем	7	7
52	того что	5	7
53	в то	2	7
54	что и	2	7
55	вместе с	7	7
56	как и	2	7
57	и здесь	3	6
58	кроме того	4	6
59	и даже	3	6
60	не мог	3	6
61	и на	6	6
62	по себе	3	6
63	xix века	3	6
64	об этом	6	6
65	так и	9	6
66	если не	2	6
67	хотя бы	3	6
68	с точки	2	6
69	но это	3	6
70	и это	2	6
71	с другой	4	5
72	тому же	3	5
73	в отношении	2	5
74	не было	3	5
75	все эти	2	5
76	в ней	7	5
77	в истории	2	5
78	в одном	6	5
79	что он	13	5
80	у нас	3	5
81	между прочим	12	5
82	еще в	2	5
83	или менее	2	5
84	в данном	2	5
85	тем что	3	5
86	дело в	4	5
87	более или	2	5
88	ничего не	4	5
89	тому что	7	4
90	вопрос о	6	4
91	на то	2	4
92	до конца	3	4
93	такого рода	2	4
94	в самом	7	4
95	в котором	7	4
96	не имеет	2	4
97	в результате	2	4
98	при помощи	4	4
99	как это	2	4
100	по существу	2	4
101	но не	3	4
102	было бы	5	4
103	и о	4	4
104	никак не	2	4
105	даже в	2	4
106	говорит о	2	4
107	то же	2	4
108	а с	3	4
109	в течение	6	4
110	в каком	2	4
111	все же	6	4
112	но в	8	4
113	я не	7	3
114	вот что	3	3
115	же как	3	3
116	в качестве	5	3
117	то ни	2	3
118	только о	2	3
119	но все	7	3
120	при этом	2	3
121	как бы	5	3
122	в виду	7	3
123	всяком случае	3	3
124	в нем	4	3
125	бы то	2	3
126	ни с	2	3
127	именно в	4	3
128	на первом	2	3
129	как на	9	3
130	не столько	7	3
131	в россии	3	3
132	если бы	2	3
133	по этому	2	3
134	в духе	2	3
135	оно не	3	3
136	ее в	2	3
137	в отличие	2	3
138	на самом	3	3
139	того чтобы	6	3
140	не в	4	3
141	что этот	2	3
142	во всяком	3	3
143	и вообще	2	3
144	отличие от	2	3
145	это было	2	3
146	в этих	3	2
147	в какой	2	2
148	с этой	2	2
149	в предисловии	3	2
150	что на	3	2
151	к своему	2	2
152	он был	2	2
153	интересно что	3	2
154	обращает на	3	2
155	должен был	4	2
156	не является	3	2
157	могло быть	3	2
158	в их	3	2
159	другой стороны	3	2
160	к первому	2	2
161	свободен от	2	2
162	и по	3	2
163	по его	3	2
164	этом отношении	9	2
165	это время	2	2
166	в начале	3	2
167	его в	2	2
168	и вся	2	2
169	иметь в	3	2
170	только с	2	2
171	во многом	2	2
172	с его	2	2
173	и более	2	2
174	с этим	3	2
175	к этому	4	2
176	и к	4	2
177	вне всякого	2	2
178	о которых	2	2
179	того же	2	2
180	не к	2	2
181	в это	2	2
182	из них	3	2
183	одной из	3	2
184	совершенно не	2	2
185	только к	2	2
186	на почве	2	2
187	со стороны	2	2
188	себя внимание	2	2
189	совершенно так	2	2
190	как говорит	2	2
191	и речи	2	2
192	только что	2	2
193	не на	2	2
194	что оба	2	2
195	но с	4	2
196	и сейчас	3	2
197	для того	7	2
198	еще до	4	2
199	и всегда	2	2
200	сравнении с	2	2
201	на себя	3	2
202	как например	2	2
203	в другом	4	2
204	связи с	4	2
205	что эта	3	2
206	в которой	11	2
207	которые не	3	2
