N	2gram	Losev_Dial_1	Narrotol
1	не только	13	26
2	а не	14	17
3	но и	7	15
4	в том	9	14
5	в качестве	2	14
6	и не	30	14
7	том что	9	13
8	и в	18	13
9	в этом	12	13
10	в частности	2	11
11	только в	3	11
12	может быть	17	10
13	в данном	3	10
14	к тому	4	9
15	так и	9	9
16	а в	5	9
17	то что	13	8
18	в себе	11	8
19	не может	12	8
20	не в	6	8
21	никогда не	9	6
22	в своем	5	6
23	прежде всего	10	6
24	можно сказать	6	6
25	вслед за	2	6
26	того что	2	6
27	в его	3	6
28	со стороны	2	6
29	все же	5	6
30	как бы	11	6
31	ничего не	17	6
32	но в	6	6
33	точки зрения	17	5
34	что он	11	5
35	одной стороны	2	5
36	хотя и	4	5
37	он не	3	5
38	в котором	4	5
39	я не	5	5
40	в нем	16	5
41	как в	2	5
42	с одной	2	5
43	с другой	6	5
44	в то	6	5
45	я в	2	5
46	о том	4	5
47	что это	11	4
48	не менее	2	4
49	если бы	12	4
50	отнюдь не	9	4
51	в конце	4	4
52	об этом	4	4
53	тому же	2	4
54	как и	2	4
55	как у	2	4
56	что в	13	4
57	для него	2	4
58	не является	3	4
59	жизни и	3	4
60	в своей	2	4
61	то же	10	4
62	уже не	2	4
63	в мире	2	4
64	и у	2	4
65	в другом	2	4
66	и все	3	4
67	как это	4	4
68	с ним	6	4
69	тому что	3	3
70	мы имеем	2	3
71	точку зрения	3	3
72	это не	9	3
73	или иной	3	3
74	да и	6	3
75	что я	3	3
76	что они	3	3
77	но не	4	3
78	же время	4	3
79	к ней	4	3
80	как раз	4	3
81	той или	7	3
82	один из	3	3
83	то и	2	3
84	все эти	2	3
85	самом деле	3	3
86	и даже	13	3
87	и для	2	3
88	с ними	2	3
89	с этой	2	3
90	этом отношении	2	3
91	никак не	6	3
92	сказать что	10	3
93	он сам	5	2
94	же как	2	2
95	о чем	2	2
96	а потом	5	2
97	может оказаться	2	2
98	хотя бы	6	2
99	из этих	2	2
100	точно так	2	2
101	и другого	2	2
102	вовсе не	7	2
103	себе самом	2	2
104	на то	5	2
105	говорит о	5	2
106	и т	21	2
107	тем более	2	2
108	эти два	2	2
109	и более	4	2
110	как о	2	2
111	должна быть	3	2
112	еще не	2	2
113	было бы	12	2
114	и он	5	2
115	себе и	2	2
116	о своем	2	2
117	в самом	3	2
118	несмотря на	10	2
119	не могу	4	2
120	что она	7	2
121	в него	2	2
122	и внутреннего	2	2
123	что и	3	2
124	в современной	2	2
125	только на	3	2
126	собственно говоря	4	2
127	а с	2	2
128	именно в	2	2
129	и состоит	2	2
130	на самом	3	2
131	быть может	4	2
132	и что	12	2
133	только что	3	2
134	с точки	12	2
135	не имеет	15	2
136	так же	4	2
137	можно было	5	2
138	в чем	6	2
139	но это	8	2
140	в ней	3	2
141	в виде	2	2
142	т п	2	2
143	говорить о	5	2
144	как он	4	2
145	бы в	3	2
146	потому что	14	2
147	которая не	2	2
148	в сознании	3	2
149	стало быть	9	2
