N	2gram	Losev_Prob_4	VrazhdaK
1	не только	24	9
2	в этом	9	8
3	и что	2	8
4	и в	20	8
5	но и	14	7
6	что в	3	7
7	то что	15	7
8	и все	8	7
9	в котором	2	6
10	в нем	5	6
11	все же	2	6
12	и даже	9	6
13	как и	6	6
14	в начале	3	6
15	но в	8	6
16	и с	7	6
17	то же	7	5
18	не было	3	5
19	и не	28	5
20	об этом	6	5
21	в то	4	5
22	уже в	4	4
23	для нас	6	4
24	у достоевского	4	4
25	как бы	4	4
26	все это	9	4
27	это не	7	4
28	что он	8	4
29	так же	5	4
30	с ним	4	4
31	может быть	9	4
32	при этом	6	4
33	в истории	3	4
34	несмотря на	4	4
35	о том	5	4
36	в ней	7	4
37	в виду	6	4
38	с его	2	3
39	связи с	3	3
40	в своем	3	3
41	и во	4	3
42	о себе	3	3
43	в связи	3	3
44	в конце	2	3
45	человека в	3	3
46	он был	3	3
47	в том	20	3
48	и его	10	3
49	том что	12	3
50	и как	3	3
51	тем что	3	3
52	в его	3	3
53	далеко не	2	3
54	его в	2	3
55	и о	5	3
56	в чем	2	3
57	он не	2	3
58	в известном	2	2
59	в своей	4	2
60	и это	2	2
61	из них	3	2
62	не менее	10	2
63	он тоже	2	2
64	вместе с	5	2
65	отнюдь не	10	2
66	в них	5	2
67	и некрасова	2	2
68	столь же	2	2
69	как раз	4	2
70	что к	2	2
71	не может	5	2
72	а в	4	2
73	таким образом	8	2
74	но это	6	2
75	там же	2	2
76	в той	8	2
77	уже не	5	2
78	и он	2	2
79	с точки	11	2
80	же в	4	2
81	как же	2	2
82	тем более	4	2
83	в этой	4	2
84	и то	2	2
85	но как	3	2
86	точки зрения	14	2
87	и ее	4	2
88	в себе	12	2
89	для него	3	2
90	еще не	7	2
91	в это	2	2
92	при помощи	10	2
93	а также	6	2
