N	2gram	Tiupa_Teor_1	DiskursI
1	в качестве	24	34
2	не только	16	28
3	в том	16	23
4	а не	9	22
5	то есть	12	20
6	том что	9	19
7	тогда как	15	19
8	может быть	17	17
9	представляет собой	9	17
10	и в	18	16
11	как и	4	16
12	в этом	8	15
13	еще не	4	14
14	но и	9	14
15	при этом	12	13
16	и т.п	4	12
17	прежде всего	2	11
18	но не	9	11
19	и не	13	11
20	по своей	3	11
21	с другой	7	10
22	как в	5	10
23	далеко не	2	10
24	в частности	16	9
25	состоит в	17	9
26	в нем	4	9
27	отношению к	4	9
28	одной стороны	2	9
29	по отношению	4	9
30	не может	4	9
31	с одной	2	9
32	а также	6	8
33	отнюдь не	3	8
34	своего рода	7	8
35	так и	10	8
36	но в	9	8
37	в основе	3	7
38	в его	6	7
39	со стороны	2	7
40	то же	7	7
41	роль в	2	7
42	в себе	9	7
43	только в	6	7
44	не в	7	7
45	в своем	4	6
46	и как	2	6
47	высказывания в	3	6
48	ни к	3	6
49	в рамках	7	5
50	к тому	2	5
51	или иной	4	5
52	можно сказать	3	5
53	как бы	5	5
54	в своей	6	5
55	то что	3	5
56	в отличие	6	5
57	а с	3	5
58	а в	13	5
59	в себя	3	5
60	в их	2	5
61	сводится к	5	5
62	отличие от	6	5
63	в данном	8	5
64	с его	5	4
65	что в	9	4
66	не является	4	4
67	в них	2	4
68	во втором	3	4
69	и к	3	4
70	уже не	4	4
71	для него	2	4
72	в целом	3	4
73	же время	5	4
74	одной из	2	4
75	такого рода	8	4
76	и о	4	4
77	по сути	2	4
78	отношение к	5	4
79	лишь в	6	4
80	потому что	3	4
81	между тем	5	4
82	могут быть	4	4
83	и т.д	3	4
84	как правило	4	4
85	во мне	2	3
86	перед нами	2	3
87	однако в	7	3
88	того же	3	3
89	столь же	2	3
90	это не	2	3
91	не сводится	4	3
92	что и	2	3
93	в ее	5	3
94	и того	3	3
95	в акте	2	3
96	свою очередь	2	3
97	времени и	2	3
98	по своему	2	3
99	в свою	3	3
100	литературного произведения	7	3
101	в самом	4	3
102	имеет место	2	3
103	один из	2	3
104	не с	3	3
105	на смену	4	3
106	в ходе	4	3
107	эстетическая деятельность	6	3
108	таким образом	3	3
109	именно в	3	3
110	заключается в	2	3
111	значении этого	3	3
112	того что	4	3
113	другой стороны	5	3
114	и даже	2	3
115	являет собой	2	3
116	сказать что	3	3
117	точки зрения	9	3
118	в то	6	3
119	и составляет	3	3
120	в первом	2	3
121	в произведении	3	3
122	и потому	2	3
123	понятие о	2	3
124	слова в	2	2
125	в противоположность	2	2
126	частной жизни	2	2
127	известной степени	3	2
128	говорит и	2	2
129	не менее	4	2
130	никогда не	4	2
131	между собой	3	2
132	и одновременно	4	2
133	том числе	2	2
134	в какой	2	2
135	или даже	4	2
136	одного и	3	2
137	в одном	2	2
138	имеем дело	2	2
139	для понимания	2	2
140	в литературе	2	2
141	об этом	2	2
142	к его	2	2
143	в соответствии	3	2
144	в пределах	5	2
145	тот или	2	2
146	воспринимающего сознания	3	2
147	есть в	2	2
148	более или	2	2
149	м.м бахтин	2	2
150	о литературе	2	2
151	отличается от	2	2
152	своей природе	2	2
153	иначе говоря	4	2
154	к области	2	2
155	в принципе	4	2
156	одним из	2	2
157	совпадает с	3	2
158	хотя и	3	2
159	в равной	3	2
160	не могло	2	2
161	и тем	3	2
162	с ее	3	2
163	того или	3	2
164	себя в	6	2
165	в культуре	2	2
166	героя и	5	2
167	дело не	2	2
168	в тексте	14	2
169	в форме	2	2
170	или менее	2	2
171	данном случае	5	2
172	приводит к	5	2
173	за пределы	2	2
174	жизни в	2	2
175	как к	2	2
176	отношения к	2	2
177	и что	3	2
178	времени в	2	2
179	и по	2	2
180	текста в	3	2
181	и его	8	2
182	или в	3	2
183	не ограничивается	2	2
184	не следует	4	2
185	в рассказе	2	2
186	в момент	2	2
187	мы имеем	7	2
188	на себя	2	2
189	и ее	3	2
190	соответствии с	2	2
191	к которому	3	2
192	в другом	3	2
193	могла бы	2	2
194	в этой	3	2
195	в организации	2	2
196	внутренней речи	13	2
197	особого рода	2	2
198	в виду	5	2
199	это было	2	2
