N	2gram	Propp_Isto_7	Komedia
1	и в	24	22
2	и не	4	21
3	т е	16	16
4	том что	10	13
5	в том	7	12
6	таким образом	7	12
7	со стороны	2	11
8	так как	8	11
9	ни в	2	10
10	потому что	9	10
11	до сих	2	9
12	в самом	2	9
13	вместе с	7	9
14	сих пор	3	9
15	что он	21	8
16	к ней	2	8
17	что и	8	8
18	что отец	2	8
19	в этом	12	8
20	о том	9	8
21	его в	3	8
22	об этом	6	7
23	при этом	4	7
24	то же	8	7
25	не по	2	7
26	а в	10	7
27	в конце	3	7
28	во время	6	6
29	к этому	2	6
30	того же	2	6
31	еще не	8	6
32	может быть	14	6
33	и что	10	6
34	так что	3	6
35	и его	3	6
36	в то	2	6
37	не менее	5	5
38	связи с	3	5
39	что в	13	5
40	прежде всего	2	5
41	то это	5	5
42	что его	2	5
43	как это	2	5
44	хотя и	3	5
45	не только	21	5
46	отношение к	5	5
47	из них	2	5
48	все это	8	5
49	он не	6	5
50	тем что	6	5
51	к нему	7	5
52	к себе	3	5
53	с ним	5	5
54	но в	5	5
55	но все	4	4
56	должен был	2	4
57	у него	10	4
58	с другой	9	4
59	вовсе не	4	4
60	и здесь	12	4
61	все же	9	4
62	не в	9	4
63	тем более	2	4
64	здесь нет	3	4
65	и т	17	4
66	то что	7	4
67	когда он	3	4
68	но и	11	4
69	на него	2	4
70	что она	5	4
71	то ли	2	4
72	а не	8	4
73	друг друга	2	4
74	так же	6	4
75	точки зрения	4	4
76	на себя	2	4
77	в связи	2	4
78	так и	5	4
79	ничем не	2	4
80	с его	3	3
81	обращается к	3	3
82	никогда не	4	3
83	в них	3	3
84	с этой	6	3
85	с этим	2	3
86	если не	4	3
87	в нем	6	3
88	на то	3	3
89	тем не	4	3
90	в ее	2	3
91	отец и	2	3
92	как и	6	3
93	одной стороны	5	3
94	было бы	2	3
95	и тот	2	3
96	конечно не	2	3
97	к ним	2	3
98	на этот	2	3
99	должно было	2	3
100	как бы	4	3
101	жениться на	4	3
102	один из	7	3
103	не может	14	3
104	у того	2	3
105	с одной	5	3
106	возможно что	3	3
107	что не	2	3
108	это обстоятельство	2	3
109	и даже	3	3
110	не имеет	4	3
111	не так	2	3
112	в других	4	3
113	одной из	4	3
114	мы можем	4	3
115	представляет собой	4	3
116	как он	6	3
117	с дочерью	2	3
118	и этим	3	3
119	в которой	2	3
120	ничего не	5	3
121	в основе	2	2
122	на вопрос	4	2
123	уже в	3	2
124	сам он	2	2
125	его дочери	2	2
126	в герое	3	2
127	в качестве	3	2
128	того кто	2	2
129	как в	12	2
130	не будет	2	2
131	это не	10	2
132	и все	6	2
133	но при	2	2
134	представление о	3	2
135	в образе	3	2
136	если он	3	2
137	не могут	2	2
138	стороны и	2	2
139	от отца	4	2
140	не ясно	2	2
141	мы знаем	2	2
142	без всякого	2	2
143	по существу	4	2
144	такое же	2	2
145	в силу	2	2
146	что они	3	2
147	она не	2	2
148	с женой	2	2
149	то время	2	2
150	тот же	2	2
151	и если	3	2
152	на его	2	2
153	на дочери	3	2
154	он говорит	2	2
155	и о	2	2
156	не совсем	2	2
157	и он	3	2
158	в котором	2	2
159	представляют собой	5	2
160	после этого	3	2
161	во всех	7	2
162	дело не	5	2
163	в их	4	2
164	от руки	2	2
165	как мы	3	2
166	другой стороны	8	2
167	вплоть до	2	2
168	его не	2	2
169	время как	2	2
170	мы не	4	2
171	после чего	2	2
172	и на	2	2
173	здесь и	2	2
174	тому что	2	2
175	и ее	2	2
176	видно что	5	2
177	и после	2	2
178	что мы	3	2
179	е в	2	2
180	его на	2	2
181	и это	2	2
182	здесь не	2	2
183	брак с	2	2
184	отца и	2	2
185	к отцу	2	2
186	ее руки	2	2
