N	2gram	Losev_Vlad_1	StatiiOP
1	и в	31	29
2	том что	14	27
3	в том	11	27
4	в этом	14	21
5	но и	19	19
6	что в	14	19
7	не только	24	19
8	о том	11	17
9	что он	12	13
10	в его	12	13
11	между прочим	11	12
12	то что	18	11
13	все это	5	11
14	в которой	4	11
15	к тому	3	10
16	таким образом	3	10
17	в своем	4	9
18	и т	2	9
19	так и	6	9
20	и не	17	9
21	как на	2	9
22	потому что	11	9
23	он не	10	9
24	по поводу	12	8
25	как раз	7	8
26	письме к	10	8
27	но в	12	8
28	с тем	2	7
29	так например	2	7
30	в самом	2	7
31	в котором	6	7
32	я не	4	7
33	в своей	4	7
34	вместе с	3	7
35	для того	2	7
36	не столько	2	7
37	об этом	7	6
38	вовсе не	5	6
39	одним из	2	6
40	все же	3	6
41	т д	2	6
42	в течение	9	6
43	и что	6	6
44	того чтобы	2	6
45	и его	7	6
46	и на	3	6
47	в письме	8	5
48	в качестве	6	5
49	было бы	2	5
50	обратить внимание	2	5
51	того что	2	5
52	точки зрения	2	5
53	в частности	2	4
54	что у	4	4
55	с другой	3	4
56	к этому	6	4
57	не в	5	4
58	для него	7	4
59	кроме того	7	4
60	и к	6	4
61	и о	2	4
62	хотя и	4	4
63	в нем	4	4
64	дело в	4	4
65	то обстоятельство	2	4
66	был для	3	4
67	ничего не	3	4
68	обстоятельство что	2	4
69	и с	14	4
70	своего времени	2	4
71	в общем	3	3
72	не менее	2	3
73	не был	5	3
74	вот что	3	3
75	но он	5	3
76	на себя	3	3
77	что на	2	3
78	ни в	2	3
79	не мог	3	3
80	тому же	2	3
81	у нас	6	3
82	так что	10	3
83	но это	3	3
84	в начале	3	3
85	но не	3	3
86	кажется что	2	3
87	одной из	2	3
88	у меня	2	3
89	никогда не	9	3
90	и даже	15	3
91	всяком случае	2	3
92	года в	3	3
93	из них	2	3
94	другой стороны	3	3
95	по его	2	3
96	русской истории	2	3
97	как в	3	3
98	а с	5	3
99	не было	5	3
100	еще и	7	3
101	тем что	2	3
102	в году	30	3
103	и сейчас	2	3
104	и он	3	3
105	и по	8	3
106	хотя бы	2	3
107	во всяком	2	3
108	он писал	4	3
109	и здесь	3	3
110	в россии	4	3
111	это был	5	2
112	во многом	2	2
113	в отношении	3	2
114	во время	3	2
115	больше всего	2	2
116	с его	11	2
117	по этому	2	2
118	в них	2	2
119	что с	2	2
120	если не	3	2
121	для своего	2	2
122	в конце	9	2
123	и теперь	4	2
124	не раз	4	2
125	и я	2	2
126	в тех	2	2
127	что и	5	2
128	к своему	3	2
129	был склонен	2	2
130	тем не	2	2
131	очень мало	2	2
132	он был	14	2
133	по существу	2	2
134	как и	4	2
135	и как	4	2
136	из его	4	2
137	в этой	4	2
138	что я	2	2
139	что они	3	2
140	в истории	4	2
141	в москве	8	2
142	в то	8	2
143	по своему	3	2
144	и сам	6	2
145	в это	2	2
146	несмотря на	4	2
147	на его	3	2
148	такого рода	4	2
149	может быть	6	2
150	только к	3	2
151	не по	2	2
152	никак не	4	2
153	и потому	6	2
154	а также	5	2
155	еще в	4	2
156	на то	5	2
157	даже в	2	2
158	нет и	2	2
159	только в	9	2
160	также и	10	2
161	ни с	4	2
162	дело не	2	2
163	со стороны	2	2
164	или менее	3	2
165	и речи	3	2
166	в полной	2	2
167	письма к	2	2
168	только что	2	2
169	совершенно не	2	2
170	судить по	2	2
171	не может	6	2
172	в особенности	4	2
173	свидетельствуют о	3	2
174	то же	6	2
175	все эти	3	2
176	при этом	2	2
177	на первом	2	2
178	более или	3	2
179	что такое	2	2
180	на этот	6	2
181	ко времени	2	2
182	а к	22	2
183	была не	2	2
184	что этот	3	2
185	где он	2	2
186	в результате	2	2
187	сказать что	7	2
188	которую он	2	2
189	с и	2	2
190	в каком	2	2
191	это время	3	2
192	в себе	4	2
193	и вообще	4	2
194	на это	2	2
195	в период	5	2
196	в которую	2	2
197	как он	4	2
198	и это	2	2
199	и всегда	3	2
200	и который	2	2
201	так как	8	2
202	как это	7	2
203	того же	6	2
204	это было	6	2
