N	2gram	Tiupa_Anal_3	FransuaR
1	и в	18	45
2	то есть	10	25
3	и т.п	5	16
4	и не	12	15
5	не только	22	14
6	в этом	14	14
7	но в	2	14
8	в его	7	13
9	во всех	2	13
10	и его	13	13
11	как бы	10	12
12	что в	9	12
13	в своем	4	11
14	в романе	2	11
15	то же	3	11
16	в то	3	11
17	прежде всего	5	10
18	в том	9	10
19	в нем	2	10
20	но и	13	10
21	как и	14	10
22	же время	3	9
23	в ней	2	8
24	таким образом	4	8
25	мира и	2	8
26	с его	8	7
27	в конце	5	7
28	том что	12	7
29	не в	6	7
30	что и	5	7
31	все это	3	7
32	и все	2	7
33	что он	4	6
34	в этой	6	6
35	он не	6	6
36	здесь не	3	6
37	так и	14	6
38	в них	2	6
39	здесь и	3	5
40	и к	4	5
41	это и	2	5
42	со всеми	2	5
43	например в	2	5
44	хотя и	2	5
45	с ее	3	5
46	как раз	7	5
47	не может	2	5
48	этом отношении	3	5
49	все эти	2	5
50	в себя	2	5
51	самом деле	2	5
52	и как	4	5
53	и на	4	5
54	его в	3	5
55	перед нами	4	4
56	об этом	2	4
57	все они	2	4
58	и от	2	4
59	мы не	3	4
60	до известной	3	4
61	и здесь	2	4
62	его как	3	4
63	тому же	3	4
64	но не	7	4
65	по своему	2	4
66	ничего не	3	4
67	по поводу	3	4
68	своего рода	8	4
69	в самом	5	4
70	в сущности	5	4
71	в общем	2	4
72	известной степени	3	4
73	а также	2	4
74	в первой	8	4
75	в их	6	4
76	не мог	2	4
77	а не	9	4
78	и даже	8	4
79	его не	3	4
80	а в	10	4
81	той же	5	4
82	сказать что	2	4
83	с этим	3	4
84	точки зрения	3	4
85	только в	2	4
86	о том	6	4
87	как это	3	4
88	не менее	4	3
89	от его	2	3
90	как в	3	3
91	это не	2	3
92	но они	2	3
93	из этих	3	3
94	в одном	4	3
95	того же	5	3
96	для него	6	3
97	для всех	2	3
98	вместе с	2	3
99	что она	2	3
100	связь с	2	3
101	и прежде	2	3
102	не было	3	3
103	еще и	3	3
104	именно в	3	3
105	в году	3	3
106	и вот	2	3
107	и он	2	3
108	и для	2	3
109	нуждается в	2	3
110	он и	3	3
111	дело в	2	3
112	там где	2	3
113	о чем	4	3
114	с тем	2	2
115	и без	3	2
116	говорить о	3	2
117	к этому	3	2
118	можно сказать	4	2
119	к тому	6	2
120	отличие от	2	2
121	в начале	6	2
122	то что	2	2
123	в пределах	4	2
124	в качестве	12	2
125	в большинстве	2	2
126	было бы	3	2
127	несмотря на	2	2
128	может быть	9	2
129	вплоть до	2	2
130	если в	3	2
131	даже в	2	2
132	один из	2	2
133	в каждом	3	2
134	все же	4	2
135	в целом	3	2
136	во второй	7	2
137	когда он	2	2
138	данном случае	3	2
139	так в	3	2
140	в отличие	2	2
141	в особенности	3	2
142	при этом	11	2
143	лишь в	5	2
144	в значительной	2	2
145	с точки	2	2
146	роль в	3	2
147	жизнь и	3	2
148	в данном	4	2
149	не столько	3	2
150	между тем	5	2
151	мы можем	2	2
152	шекспира и	4	2
153	на эту	2	2
154	и т.д	2	2
155	говорит и	3	2
