N	2gram	Potebnia_M_1	DiskursI
1	не только	21	28
2	в том	26	23
3	а не	21	22
4	то есть	42	20
5	том что	16	19
6	тогда как	2	19
7	может быть	27	17
8	и в	39	16
9	как и	9	16
10	в этом	15	15
11	еще не	6	14
12	но и	20	14
13	при этом	6	13
14	прежде всего	4	11
15	но не	8	11
16	и не	18	11
17	с другой	7	10
18	как в	10	10
19	в нем	20	9
20	отношению к	13	9
21	одной стороны	3	9
22	по отношению	13	9
23	не может	22	9
24	с одной	3	9
25	так и	13	8
26	о том	2	8
27	но в	9	8
28	в его	5	7
29	со стороны	8	7
30	то же	6	7
31	не было	4	7
32	в себе	13	7
33	только в	25	7
34	не в	15	7
35	в своем	3	6
36	и как	6	6
37	к тому	4	5
38	как бы	6	5
39	в своей	3	5
40	то что	10	5
41	во всех	5	5
42	а в	5	5
43	в их	2	5
44	что в	22	4
45	в них	3	4
46	для себя	3	4
47	во втором	5	4
48	уже не	2	4
49	для него	4	4
50	в истории	7	4
51	в целом	2	4
52	же время	4	4
53	связи с	3	4
54	и о	2	4
55	что не	10	4
56	потому что	52	4
57	между тем	5	4
58	могут быть	9	4
59	однако в	4	3
60	того же	3	3
61	столь же	3	3
62	это не	7	3
63	но при	3	3
64	по себе	10	3
65	что и	6	3
66	и того	2	3
67	свою очередь	4	3
68	времени и	2	3
69	в свою	4	3
70	с этим	7	3
71	в действительности	4	3
72	в самом	3	3
73	имеет место	2	3
74	к ним	2	3
75	хотя бы	2	3
76	все же	6	3
77	бы быть	4	3
78	в основании	3	3
79	таким образом	13	3
80	заключается в	3	3
81	того что	8	3
82	должны быть	7	3
83	другой стороны	5	3
84	и даже	4	3
85	в своих	4	3
86	сказать что	3	3
87	тем что	9	3
88	точки зрения	8	3
89	в то	4	3
90	тому как	4	3
91	в первом	5	3
92	и потому	5	3
93	слова в	2	2
94	то она	2	2
95	зависит от	5	2
96	по мере	6	2
97	не менее	6	2
98	и есть	2	2
99	никогда не	4	2
100	в разные	2	2
101	мысли о	4	2
102	о котором	3	2
103	и без	3	2
104	или даже	3	2
105	и во	3	2
106	по крайней	2	2
107	одного и	2	2
108	и все	3	2
109	в одном	8	2
110	одного из	2	2
111	в каждом	4	2
112	с понятием	2	2
113	не более	4	2
114	стороны и	2	2
115	крайней мере	2	2
116	в г	2	2
117	есть в	2	2
118	так например	3	2
119	в начале	2	2
120	в сущности	2	2
121	значительной степени	2	2
122	одним из	2	2
123	к другим	2	2
124	хотя и	3	2
125	оно не	3	2
126	не могло	3	2
127	и тем	3	2
128	не есть	10	2
129	с ее	2	2
130	что же	2	2
131	мысли и	9	2
132	за пределы	2	2
133	к мысли	2	2
134	языка и	17	2
135	хотя в	3	2
136	сознания в	2	2
137	как мы	2	2
138	и что	10	2
139	и по	6	2
140	и его	5	2
141	или в	2	2
142	языка с	6	2
143	не ограничивается	2	2
144	не следует	5	2
145	во всяком	3	2
146	подобно тому	3	2
147	и понимание	3	2
148	но как	3	2
149	к которому	3	2
150	и вообще	3	2
151	что даже	2	2
152	могла бы	2	2
153	в этой	3	2
154	служит для	2	2
155	так сказать	2	2
156	заметить что	2	2
157	возможно только	5	2
158	в виду	2	2
