N	2gram	Savitsky_P_1	UchenyiS
1	и в	14	14
2	а не	2	10
3	не только	17	10
4	и не	12	8
5	прежде всего	3	8
6	то что	4	7
7	в этом	10	7
8	не может	4	7
9	может быть	5	6
10	хотя бы	8	5
11	все это	2	5
12	то же	9	5
13	но и	6	4
14	в россии	3	4
15	с другой	5	4
16	но в	9	3
17	в частности	2	3
18	же время	7	3
19	это не	3	3
20	в то	7	3
21	было бы	6	3
22	в области	11	3
23	не о	2	3
24	том что	4	2
25	но не	3	2
26	в том	9	2
27	является в	2	2
28	мы не	3	2
29	не в	5	2
30	не столько	2	2
31	если бы	4	2
32	только в	7	2
33	и с	2	2
34	могут быть	3	2
35	именно как	2	2
36	в себе	3	2
37	как раз	2	2
38	что мы	3	2
39	по себе	4	2
40	сводится к	3	2
41	в его	2	2
42	более чем	2	2
43	между тем	3	2
