N	2gram	Propp_Isto_2	Literetu
1	и не	11	22
2	и в	15	16
3	при этом	4	15
4	не только	18	14
5	но и	14	14
6	в этом	11	14
7	а не	5	12
8	то что	12	12
9	может быть	17	12
10	в том	6	12
11	не в	7	10
12	то же	10	9
13	так и	5	9
14	того что	3	9
15	в жизни	2	8
16	том что	7	8
17	не может	5	8
18	к себе	2	8
19	в этой	4	8
20	как бы	6	8
21	тем самым	2	7
22	только в	6	7
23	состоит в	2	6
24	с другой	2	6
25	к тому	5	6
26	еще не	9	6
27	в его	6	6
28	и его	3	6
29	в себе	4	6
30	в другом	9	6
31	о том	3	6
32	в качестве	3	5
33	это не	2	5
34	что он	24	5
35	тому же	2	5
36	как и	2	5
37	вместе с	7	5
38	как в	5	5
39	а именно	3	5
40	а в	12	5
41	именно в	2	5
42	но не	2	4
43	никогда не	15	4
44	по существу	2	4
45	одной стороны	3	4
46	и если	2	4
47	и для	2	4
48	отношению к	3	4
49	из них	2	4
50	по отношению	3	4
51	с одной	4	4
52	пути в	2	4
53	а также	2	4
54	одно из	2	4
55	как будто	3	4
56	в одном	5	4
57	все еще	2	3
58	прежде всего	5	3
59	а затем	2	3
60	например в	2	3
61	на его	2	3
62	с ее	2	3
63	самом деле	2	3
64	и наконец	5	3
65	той же	2	3
66	тому как	3	3
67	потому что	9	3
68	как это	3	3
69	но в	6	3
70	с которой	2	2
71	что в	12	2
72	она и	2	2
73	что у	2	2
74	с образом	2	2
75	я не	2	2
76	вопрос о	4	2
77	и вместе	2	2
78	на то	3	2
79	в нем	7	2
80	и ее	2	2
81	связи с	8	2
82	было бы	5	2
83	во всех	2	2
84	в работе	3	2
85	о нем	4	2
86	себя и	2	2
87	герой в	3	2
88	один из	8	2
89	то это	6	2
90	что и	6	2
91	все же	9	2
92	когда он	3	2
93	так же	13	2
94	и только	2	2
95	но с	2	2
96	человека в	2	2
97	того чтобы	2	2
98	другой стороны	2	2
99	право на	3	2
100	с ними	2	2
101	и на	4	2
102	и с	4	2
103	тем что	4	2
104	он в	3	2
105	эти слова	3	2
106	подобно тому	3	2
107	он и	3	2
108	представляет собой	5	2
109	не знает	2	2
110	его в	10	2
111	здесь не	2	2
112	ее в	2	2
113	если это	3	2
