N	2gram	Tiupa_Vved_1	Otkroven
1	и в	13	19
2	но и	19	13
3	и не	12	13
4	в этом	21	12
5	а не	15	11
6	не в	6	11
7	может быть	18	11
8	не только	20	11
9	и все	4	10
10	в нем	5	10
11	никогда не	4	9
12	не было	2	9
13	потому что	5	9
14	прежде всего	7	9
15	лишь в	2	7
16	до конца	3	7
17	он не	3	7
18	в его	4	7
19	как и	11	6
20	то что	6	5
21	а в	6	5
22	отношение к	2	5
23	в том	10	5
24	для него	3	5
25	в самом	2	5
26	и его	5	4
27	не может	7	4
28	что в	3	4
29	в этих	3	3
30	это не	6	3
31	того что	6	3
32	в своих	2	3
33	еще не	7	3
34	и от	2	3
35	могут быть	4	3
36	все что	3	3
37	в себе	5	3
38	было бы	4	3
39	о том	5	3
40	с ним	3	3
41	как бы	4	3
42	в этот	2	2
43	все же	6	2
44	что и	2	2
45	и для	3	2
46	так и	8	2
47	жизни в	4	2
48	в своем	5	2
49	что же	3	2
50	не все	2	2
51	к этому	2	2
52	по себе	2	2
53	и к	2	2
54	о которой	2	2
55	не имеет	2	2
56	том что	7	2
57	и на	3	2
58	и с	2	2
59	тем что	2	2
60	вместо того	2	2
61	в своей	5	2
62	хотя и	7	2
63	но в	6	2
