N	2gram	Tiupa_Narr_1	formyVre
1	и в	11	50
2	то есть	9	33
3	в романе	2	32
4	в этом	12	25
5	в нем	4	24
6	человека в	2	17
7	и его	10	16
8	в литературе	4	16
9	прежде всего	4	15
10	и не	23	14
11	как мы	2	14
12	как раз	6	13
13	в его	6	13
14	так и	5	12
15	может быть	15	11
16	то же	8	11
17	и как	3	10
18	времени и	9	10
19	но в	7	10
20	в конце	2	9
21	в том	8	9
22	же время	4	9
23	в особенности	2	9
24	в то	4	9
25	не только	31	9
26	с его	4	9
27	роль в	2	9
28	ничего не	2	9
29	в самом	6	8
30	его жизни	3	8
31	но и	27	8
32	и на	5	8
33	жизни в	2	8
34	как и	13	8
35	жизни и	6	8
36	не было	3	7
37	времени в	2	7
38	героя и	2	7
39	так сказать	2	7
40	все же	4	6
41	в частности	14	6
42	это не	3	6
43	с ее	2	6
44	не может	8	6
45	лишь в	3	6
46	в результате	2	6
47	у него	7	6
48	и все	3	6
49	в жизни	3	6
50	и того	2	6
51	связи с	2	6
52	то что	9	6
53	как в	4	6
54	человеческой жизни	2	6
55	между двумя	5	6
56	что в	3	5
57	не в	6	5
58	в пределах	2	5
59	в связи	2	5
60	точки зрения	5	5
61	если бы	7	5
62	отнюдь не	2	5
63	в пространстве	3	5
64	но не	4	5
65	еще не	4	5
66	он не	3	5
67	не могло	2	5
68	отношению к	3	5
69	того чтобы	4	5
70	для того	3	5
71	жизни но	2	5
72	в своем	3	4
73	было и	2	4
74	до конца	2	4
75	не имеет	2	4
76	потому что	5	4
77	и с	3	4
78	в ней	4	4
79	к себе	4	4
80	между собой	2	4
81	в присутствии	2	4
82	раз в	2	4
83	и т.п	8	4
84	в той	2	4
85	том что	7	4
86	и для	2	4
87	и то	3	4
88	только в	12	4
89	здесь не	2	4
90	в этих	2	3
91	к тому	6	3
92	да и	2	3
93	при этом	19	3
94	имеет место	4	3
95	хотя и	4	3
96	мира в	4	3
97	один из	6	3
98	в форме	2	3
99	по отношению	3	3
100	этом отношении	3	3
101	именно в	3	3
102	друг друга	2	3
103	а в	13	3
104	их в	3	3
105	сказать что	2	3
106	в начале	3	3
107	в одном	4	3
108	но они	3	3
109	для них	2	3
110	же в	2	3
111	в качестве	14	3
112	одно и	2	3
113	в сущности	2	3
114	вместе с	2	3
115	сих пор	2	3
116	только на	2	3
117	во времени	9	3
118	а не	13	3
119	что не	2	3
120	между ними	2	3
121	мы не	3	3
122	в таком	2	3
123	или в	6	3
124	нас в	2	3
125	во всяком	2	3
126	и ее	3	3
127	в себе	6	3
128	входит в	2	3
129	до сих	2	3
130	никогда не	4	2
131	о своей	2	2
132	в нашем	3	2
133	его и	2	2
134	с другой	2	2
135	или иной	4	2
136	как если	2	2
137	тому же	6	2
138	в свою	2	2
139	для него	4	2
140	но для	3	2
141	не о	2	2
142	к жизни	2	2
143	в целом	3	2
144	эпизоды в	3	2
145	во втором	6	2
146	того что	4	2
147	и даже	2	2
148	к ним	2	2
149	друг на	2	2
150	или не	4	2
151	также и	3	2
152	той или	5	2
153	и еще	2	2
154	и является	2	2
155	на друга	2	2
156	что мы	2	2
157	с ним	2	2
158	встречи с	2	2
159	не является	3	2
160	другой день	3	2
161	по себе	4	2
162	об этом	6	2
163	в соответствии	5	2
164	не столь	2	2
165	в чем	2	2
166	одна из	4	2
167	на другой	5	2
168	и стал	2	2
169	а также	6	2
170	оно не	2	2
171	в своей	5	2
172	как бы	6	2
173	быть и	2	2
174	в центре	3	2
175	в отличие	2	2
176	уже не	8	2
177	хотя бы	2	2
178	в данном	11	2
179	как она	2	2
180	на себя	4	2
181	соответствии с	4	2
182	дело в	2	2
183	отличие от	2	2
