N	2gram	Nazirov_Tv_1	VrazhdaK
1	в году	7	18
2	в бесах	3	10
3	достоевского с	8	9
4	не только	7	9
5	достоевский в	3	8
6	достоевский и	3	8
7	в этом	6	8
8	и в	21	8
9	достоевского в	12	7
10	но и	3	7
11	что в	12	7
12	достоевского и	3	7
13	то что	8	7
14	и все	6	7
15	в котором	6	6
16	в нем	3	6
17	все же	5	6
18	и даже	3	6
19	в романе	10	6
20	как и	12	6
21	но в	7	6
22	и с	3	6
23	то же	13	5
24	и не	7	5
25	у него	7	5
26	об этом	2	5
27	в то	15	5
28	же время	12	5
29	в россии	3	5
30	во многом	7	4
31	уже в	3	4
32	в россию	2	4
33	у достоевского	28	4
34	как бы	17	4
35	подпольного человека	11	4
36	все это	10	4
37	это не	4	4
38	достоевского не	6	4
39	что он	6	4
40	что достоевский	7	4
41	так же	3	4
42	с ним	3	4
43	в своих	5	4
44	может быть	5	4
45	при этом	7	4
46	о том	6	4
47	в ней	2	4
48	в виду	2	4
49	я не	3	3
50	с его	11	3
51	русской литературе	4	3
52	в своем	4	3
53	эти слова	2	3
54	сам достоевский	2	3
55	к этому	2	3
56	человека в	6	3
57	и у	2	3
58	в том	7	3
59	и его	6	3
60	достоевского к	3	3
61	том что	11	3
62	и как	4	3
63	в черновиках	2	3
64	достоевский не	4	3
65	в его	13	3
66	далеко не	3	3
67	в русской	5	3
68	из подполья	13	3
69	но он	2	3
70	в чем	2	3
71	одним из	4	3
72	он не	8	3
73	по нашему	5	3
74	место в	3	2
75	он сам	6	2
76	в своей	4	2
77	из них	2	2
78	не менее	6	2
79	году достоевский	2	2
80	никогда не	3	2
81	вместе с	2	2
82	отнюдь не	5	2
83	и наказания	5	2
84	человека с	2	2
85	и далее	2	2
86	и достоевский	2	2
87	не может	4	2
88	по мнению	3	2
89	а в	6	2
90	таким образом	5	2
91	это в	3	2
92	но это	5	2
93	там же	3	2
94	в в	2	2
95	уже не	3	2
96	году в	2	2
97	с которым	2	2
98	не мог	2	2
99	и он	2	2
100	в повести	5	2
101	из повести	3	2
102	достоевского он	2	2
103	в этой	5	2
104	что я	3	2
105	в момент	4	2
106	в свою	7	2
107	в себе	2	2
108	для него	6	2
109	в нашей	2	2
110	м м	11	2
111	этот роман	2	2
112	время он	2	2
113	неточку незванову	2	2
114	при помощи	2	2
115	в мире	4	2
116	одна из	2	2
117	записки из	6	2
118	молодого достоевского	5	2
119	в него	2	2
