N	3gram	Vinokur_Vv_1	Myshleni
1	в том что	12	19
2	по сравнению с	3	14
3	с точки зрения	2	10
4	по отношению к	4	10
5	для того чтобы	21	8
6	то же самое	2	6
7	можно сказать что	3	6
8	можно было бы	3	5
9	заключается в том	3	5
10	и того же	2	4
11	самой своей природе	2	4
12	по самой своей	2	4
13	одного и того	2	4
14	как мы видели	2	4
15	потому что он	2	4
16	и той же	2	3
17	в этом отношении	3	3
18	до сих пор	5	3
19	в первом случае	2	3
20	одной и той	2	3
21	представить себе что	2	2
22	именно в этом	3	2
23	и то что	2	2
24	не могут быть	2	2
25	на этот вопрос	3	2
26	с тем что	3	2
27	в этом случае	6	2
28	с другой стороны	5	2
29	в связи с	2	2
30	состоит в том	2	2
31	не может быть	8	2
32	в этом смысле	10	2
33	принять во внимание	2	2
34	вместе с тем	3	2
