N	2gram	Tiupa_Narr_1	Problemy
1	и в	19	46
2	то есть	19	40
3	и не	20	27
4	может быть	25	23
5	как бы	4	19
6	не может	10	19
7	в нем	4	17
8	в этом	17	16
9	не только	32	14
10	и т.п	8	14
11	перед нами	4	12
12	но и	23	12
13	как и	7	12
14	как мы	3	12
15	и на	3	11
16	точки зрения	10	11
17	а не	12	11
18	не в	14	10
19	в пределах	2	10
20	между ними	2	10
21	прежде всего	4	9
22	в том	18	9
23	и все	2	9
24	в его	9	9
25	с точки	2	9
26	или в	2	8
27	и с	4	7
28	по себе	5	7
29	еще не	7	7
30	в сущности	3	7
31	как раз	2	7
32	в себе	8	7
33	никогда не	3	6
34	ни в	3	6
35	есть в	2	6
36	хотя и	3	6
37	к себе	5	6
38	о нем	4	6
39	но в	6	6
40	на свой	2	6
41	что он	6	6
42	то же	4	6
43	и он	3	6
44	и его	5	6
45	только в	4	6
46	это не	2	5
47	себе самом	2	5
48	же время	4	5
49	при этом	9	5
50	к нему	5	5
51	жизни и	3	5
52	по отношению	7	5
53	особенно в	3	5
54	в то	3	5
55	в структуре	2	5
56	с его	6	5
57	у него	4	5
58	к другому	2	5
59	о том	6	5
60	отношению к	6	5
61	том числе	6	4
62	уже в	3	4
63	что в	3	4
64	можно сказать	5	4
65	да и	4	4
66	двуголосого слова	3	4
67	например в	2	4
68	все эти	2	4
69	как в	7	4
70	точек зрения	2	4
71	том что	14	4
72	но не	5	4
73	совершенно не	2	4
74	он не	3	4
75	все же	7	4
76	то что	11	4
77	своего рода	12	4
78	так и	9	4
79	приводит к	2	4
80	в себя	6	4
81	уже не	5	4
82	самом деле	2	4
83	на себя	3	4
84	героя и	4	4
85	здесь не	4	4
86	себя и	2	3
87	с другой	8	3
88	из этих	3	3
89	в мире	9	3
90	в своем	2	3
91	более или	2	3
92	числе и	4	3
93	одним из	2	3
94	и для	2	3
95	отношение к	2	3
96	и до	2	3
97	другой стороны	4	3
98	так же	2	3
99	и только	2	3
100	и даже	3	3
101	рассказ в	2	3
102	мы имеем	2	3
103	здесь и	2	3
104	не как	2	3
105	с ее	3	3
106	по существу	2	3
107	по своей	3	3
108	всех его	2	3
109	она не	2	3
110	было бы	4	3
111	себя в	5	3
112	на него	3	3
113	или менее	2	3
114	в отличие	5	3
115	в той	6	3
116	героя в	8	3
117	отличается от	4	3
118	между двумя	5	3
119	тем что	3	3
120	в этой	5	3
121	и т.д	7	3
122	далеко не	5	3
123	отличие от	5	3
124	не менее	3	2
125	он сам	2	2
126	должна быть	2	2
127	и одновременно	2	2
128	или иной	5	2
129	к тому	7	2
130	его как	2	2
131	и как	5	2
132	но все	4	2
133	же как	3	2
134	том или	2	2
135	времени и	7	2
136	для него	2	2
137	той или	4	2
138	если в	3	2
139	и тем	4	2
140	на том	3	2
141	языка и	2	2
142	отношения к	2	2
143	не было	2	2
144	те же	4	2
145	они не	2	2
146	а в	11	2
147	в результате	2	2
148	сказать что	4	2
149	что мы	2	2
150	от одного	2	2
151	в произведении	3	2
152	между тем	3	2
153	в присутствии	3	2
154	одна из	3	2
155	зрения и	2	2
156	он уже	2	2
157	этого слова	2	2
158	нет и	2	2
159	сами по	2	2
160	не могло	2	2
161	себя внимание	3	2
162	когда он	3	2
163	к самому	2	2
164	при всем	2	2
165	бы не	2	2
166	героя с	2	2
167	хотя бы	4	2
168	главного героя	2	2
169	высказывания и	3	2
170	общения то	2	2
171	можно было	2	2
172	ничего не	2	2
173	в данном	5	2
174	в рассказе	4	2
175	могут быть	3	2
