N	2gram	Ircho_Kome_2	Analitik
1	в этом	10	18
2	в частности	4	16
3	и в	26	16
4	не только	7	16
5	так и	12	15
6	как и	4	14
7	в том	11	12
8	но и	10	12
9	и не	14	12
10	том что	9	12
11	в качестве	5	11
12	как бы	2	10
13	в этой	3	9
14	отнюдь не	2	8
15	в целом	4	8
16	к тому	12	7
17	то что	6	7
18	о том	6	7
19	с другой	2	6
20	в самом	4	6
21	в мире	2	6
22	и на	7	6
23	говорить о	2	6
24	может быть	11	6
25	как это	4	6
26	но в	3	6
27	и к	2	5
28	с одной	2	5
29	на себя	7	5
30	не менее	4	4
31	в своем	6	4
32	столь же	9	4
33	в конце	2	4
34	в поле	3	4
35	у него	4	4
36	о его	4	4
37	же его	2	4
38	тому же	11	4
39	не в	2	4
40	но не	3	4
41	того же	3	4
42	одной стороны	2	4
43	как правило	3	4
44	в один	2	4
45	времени в	2	4
46	и особенно	3	4
47	отношению к	3	4
48	во всех	3	4
49	как в	3	4
50	все это	3	4
51	по отношению	3	4
52	не может	3	4
53	на этом	2	4
54	и его	12	4
55	то же	3	4
56	хотя и	4	4
57	точки зрения	4	4
58	только в	4	4
59	место в	4	3
60	в нашем	2	3
61	что касается	3	3
62	прежде всего	4	3
63	что на	3	3
64	одной из	4	3
65	так что	5	3
66	обращает на	5	3
67	по поводу	3	3
68	было бы	8	3
69	и сам	3	3
70	в действительности	2	3
71	и если	2	3
72	мы имеем	2	3
73	и за	2	3
74	или в	3	3
75	что и	7	3
76	себя внимание	5	3
77	из них	7	3
78	со стороны	2	3
79	в их	3	3
80	если бы	9	3
81	ответ на	3	3
82	самом начале	2	3
83	можно было	4	3
84	а в	3	3
85	как мы	4	3
86	с ними	2	3
87	тем что	3	3
88	как будто	4	3
89	бы в	2	3
90	едва ли	14	3
91	и все	2	3
92	в ответ	2	2
93	речь идет	3	2
94	перед лицом	2	2
95	обоих случаях	2	2
96	для всех	3	2
97	в одном	2	2
98	этом смысле	2	2
99	к этому	5	2
100	вовсе не	2	2
101	и я	2	2
102	он был	2	2
103	а затем	5	2
104	отличие от	2	2
105	из его	2	2
106	должна была	2	2
107	же время	3	2
108	что в	9	2
109	с их	4	2
110	еще не	6	2
111	о чем	3	2
112	в своей	3	2
113	в обоих	3	2
114	еще в	4	2
115	частности в	2	2
116	в котором	3	2
117	даже в	2	2
118	один из	5	2
119	это было	4	2
120	с той	2	2
121	себя в	3	2
122	и их	3	2
123	в отличие	2	2
124	вместе с	9	2
125	всего в	2	2
126	что она	2	2
127	вслед за	2	2
128	ли не	7	2
129	таким образом	6	2
130	здесь в	3	2
131	той же	3	2
132	еще более	2	2
133	в двух	6	2
134	на этот	4	2
135	не имеет	3	2
136	и для	4	2
137	роль в	2	2
138	не следует	2	2
139	между тем	4	2
140	и во	2	2
141	одно из	2	2
142	он не	2	2
143	к его	2	2
144	на протяжении	10	2
145	в то	6	2
146	в его	4	2
147	поле зрения	2	2
148	его в	4	2
149	в этих	4	2
150	же не	2	2
