N	2gram	Tiupa_Hudo_2	Formalny
1	и в	28	38
2	в этом	13	27
3	т е	2	26
4	может быть	8	23
5	и его	5	21
6	и не	18	20
7	в самом	5	16
8	прежде всего	3	15
9	не в	13	15
10	и т	4	14
11	не может	4	14
12	в нем	3	13
13	но и	9	13
14	с его	5	11
15	в том	15	11
16	вовсе не	2	11
17	в его	11	10
18	с другими	3	10
19	и с	6	9
20	как и	11	9
21	при этом	11	9
22	не только	11	9
23	т п	2	9
24	отнюдь не	2	8
25	что и	4	8
26	все же	2	8
27	так и	8	8
28	самом деле	3	8
29	тем что	6	8
30	точки зрения	2	8
31	что в	5	7
32	для него	5	7
33	во втором	2	7
34	в своей	6	7
35	в других	4	7
36	как мы	2	7
37	лишь в	2	7
38	уже не	10	7
39	с точки	2	7
40	в первом	2	7
41	не было	6	6
42	все время	3	6
43	то что	6	6
44	и ее	3	6
45	в ней	3	6
46	в этой	5	6
47	было бы	3	6
48	вместе с	2	6
49	то же	6	6
50	а не	14	6
51	как раз	4	6
52	он не	4	6
53	только в	4	6
54	а в	6	6
55	хотя бы	2	6
56	ни о	3	5
57	если бы	6	5
58	или иного	2	5
59	что он	8	5
60	именно в	2	5
61	говорит в	2	5
62	же время	4	5
63	по преимуществу	3	5
64	что же	2	5
65	и только	2	5
66	т д	2	5
67	и для	2	5
68	сводится к	6	5
69	в основе	2	5
70	говорить о	2	5
71	в то	6	5
72	как о	3	4
73	оно не	2	4
74	не столько	2	4
75	не как	2	4
76	на фоне	3	4
77	к тому	7	4
78	что они	4	4
79	того или	2	4
80	как бы	5	4
81	и к	2	4
82	из них	2	4
83	как в	5	4
84	что не	2	4
85	здесь не	2	4
86	ничего не	5	4
87	но в	2	4
88	если в	2	3
89	же как	2	3
90	место в	2	3
91	была бы	3	3
92	а о	2	3
93	с другой	3	3
94	произведения не	2	3
95	из этих	2	3
96	а как	2	3
97	мы знаем	2	3
98	но именно	2	3
99	не является	2	3
100	жизни и	6	3
101	только на	5	3
102	все это	3	3
103	то и	4	3
104	к нему	3	3
105	именно на	2	3
106	того чтобы	4	3
107	для того	4	3
108	роль в	2	3
109	или в	3	3
110	и на	3	3
111	однако и	2	3
112	и все	7	3
113	его в	2	3
114	что это	5	3
115	это было	2	3
116	сам он	2	2
117	и другие	5	2
118	никогда не	5	2
119	состоит в	7	2
120	в этих	3	2
121	в качестве	4	2
122	тому что	4	2
123	характерно что	3	2
124	перед нами	11	2
125	столь же	3	2
126	это не	6	2
127	с нею	3	2
128	между ними	2	2
129	только тем	2	2
130	в ее	18	2
131	том что	19	2
132	то в	4	2
133	но не	4	2
134	она не	5	2
135	со своей	2	2
136	что на	3	2
137	едва ли	3	2
138	и о	4	2
139	же и	2	2
140	в котором	6	2
141	для нее	4	2
142	один из	2	2
143	не будет	2	2
144	отношение к	2	2
145	во второй	2	2
146	не по	2	2
147	со стороны	3	2
148	приводит к	2	2
149	на этом	2	2
150	превращается в	4	2
151	тем самым	2	2
152	с ними	3	2
153	и то	2	2
154	сказать что	2	2
155	между тем	8	2
156	и от	2	2
157	они были	2	2
158	и это	3	2
159	в художественном	4	2
160	потому что	2	2
161	как это	7	2
162	с ним	7	2
163	та же	2	2
