N	2gram	Losev_Dial_4	RusskieA
1	и в	15	29
2	т е	46	24
3	что в	7	22
4	том что	10	22
5	в том	11	22
6	как бы	14	18
7	может быть	17	13
8	так как	14	13
9	как и	7	11
10	в этом	11	11
11	все это	9	10
12	в этот	2	10
13	е в	2	10
14	и с	4	10
15	не только	8	10
16	о том	5	9
17	показывает что	2	8
18	но и	4	8
19	ее в	2	8
20	как в	3	7
21	или в	7	7
22	с тем	4	6
23	мы не	9	6
24	еще не	4	6
25	для того	5	6
26	вместе с	2	6
27	таким образом	5	6
28	при этом	2	6
29	того чтобы	5	6
30	и на	5	6
31	в данном	3	6
32	мы имеем	5	6
33	представление о	2	5
34	потому что	10	5
35	это не	12	5
36	к этому	3	5
37	то что	16	5
38	и что	9	5
39	для этого	2	5
40	и т	17	5
41	к жизни	3	5
42	не может	11	5
43	т д	15	5
44	но в	3	5
45	именно в	5	4
46	в них	2	4
47	и все	11	4
48	тогда когда	5	4
49	вопрос о	2	4
50	уже не	9	4
51	так что	6	4
52	не в	8	4
53	из них	2	4
54	или вообще	3	4
55	так же	4	4
56	то и	2	4
57	то же	9	4
58	у нас	3	4
59	а не	18	4
60	в виде	3	4
61	как это	2	4
62	что по	2	4
63	на этом	3	3
64	тем что	2	3
65	в качестве	2	3
66	не всегда	3	3
67	главным образом	2	3
68	в ее	2	3
69	она не	4	3
70	что здесь	3	3
71	того что	13	3
72	было бы	9	3
73	и о	8	3
74	что она	5	3
75	но если	5	3
76	в котором	2	3
77	не имеет	14	3
78	во всех	2	3
79	в природе	3	3
80	только тогда	5	3
81	а именно	6	3
82	в свете	5	3
83	не объясняет	2	3
84	все эти	3	3
85	и по	2	3
86	тому как	4	3
87	подобно тому	4	3
88	в этой	4	3
89	что это	13	3
90	отличие от	2	3
91	не менее	2	2
92	если она	2	2
93	с этой	2	2
94	об этом	3	2
95	могут быть	3	2
96	никогда не	2	2
97	из этих	2	2
98	он есть	7	2
99	прежде всего	11	2
100	где-нибудь на	2	2
101	не что	8	2
102	что и	6	2
103	в целях	2	2
104	что с	2	2
105	говорит о	3	2
106	это и	9	2
107	кроме того	2	2
108	и как	4	2
109	и при	2	2
110	самом же	2	2
111	и пр	9	2
112	совершенно не	3	2
113	что на	2	2
114	тем не	2	2
115	в виду	9	2
116	один из	4	2
117	все же	2	2
118	в своей	3	2
119	природы и	2	2
120	в их	3	2
121	того как	2	2
122	не было	2	2
123	в течение	4	2
124	обряд и	2	2
125	из которых	3	2
126	и для	5	2
127	должно быть	2	2
128	жизнь и	2	2
129	и то	3	2
130	с этим	3	2
131	и ее	8	2
132	что иное	8	2
133	во всем	2	2
134	в то	6	2
135	так чтобы	3	2
136	в которой	2	2
137	та же	3	2
138	есть в	4	2
139	иное как	8	2
