N	3gram	Vygotskiy__3	Psycholo
1	в том что	17	17
2	для того чтобы	7	13
3	заключается в том	7	10
4	не может быть	2	8
5	так же точно	3	7
6	на то что	3	6
7	в этом отношении	3	5
8	только в том	2	4
9	так же как	6	4
10	о том что	3	4
11	и той же	2	4
12	можно было бы	5	4
13	одной и той	2	4
14	тем не менее	5	4
15	в то время	4	3
16	сами по себе	3	3
17	само по себе	2	3
18	в том виде	2	3
19	с тем что	3	3
20	что и в	5	3
21	по сравнению с	3	2
22	том виде как	2	2
23	только потому что	2	2
24	этой точки зрения	2	2
25	в свою очередь	2	2
26	заключает в себе	2	2
27	это значит что	4	2
28	тому или иному	2	2
29	как и в	2	2
30	состоит в том	3	2
31	во всяком случае	4	2
32	того и другого	2	2
33	и то что	2	2
34	имеет дело с	2	2
35	то время как	4	2
36	того или иного	2	2
37	с другой стороны	3	2
